,Scores,Episode length
0,-104.53188132953238,80
1,-380.60247863827493,110
2,-295.94076346246527,59
3,-344.8010840503771,63
4,-266.73190155706527,66
5,-334.0219269260837,75
6,-419.49764833445215,71
7,-339.61638902585133,91
8,21.67377445340948,93
9,-560.2930786755006,79
10,-578.1468601458125,79
11,-244.52262273034404,56
12,-253.70198290186076,55
13,-108.41482683406127,83
14,-110.2537348151993,88
15,-87.05199238285894,84
16,18.10063059488661,58
17,-97.28818023752004,71
18,-73.02513497031416,54
19,-89.8733239223557,90
20,-117.43308442056048,67
21,-87.48787924052448,88
22,-69.16938476299077,69
23,-107.89337040858689,75
24,-92.81140306272846,52
25,-92.38683758206946,72
26,-111.1499235589315,64
27,-143.0548334194062,76
28,-99.42481231327312,66
29,-97.35408571497595,53
30,-106.08995918845011,57
31,-113.8345863774166,61
32,-122.96118062422988,62
33,-71.05089332979148,68
34,-105.46970540365737,59
35,-75.87319580743434,54
36,-81.57393463099652,63
37,-92.05793691891472,74
38,-85.99793650125656,90
39,-75.3183247774692,52
40,-94.68095796680814,83
41,-73.84836449680492,59
42,17.242936911393883,56
43,-87.66667848594722,70
44,-91.9574105254137,55
45,-94.55540974577858,56
46,-86.80819320599096,84
47,-92.8671919944278,62
48,-68.80419152707864,75
49,-83.58726207381835,58
50,-88.70630293136861,65
51,70.85534185560647,100
52,-93.11883338650568,55
53,-67.28284100038925,63
54,-70.59391029989638,58
55,-74.30978463702135,60
56,-90.64066284248611,53
57,-114.67556212112822,70
58,-96.3195457264583,61
59,-101.05426121330908,78
60,-74.80194708766632,69
61,-119.02887850306297,65
62,21.62806874765991,93
63,-68.31238245766224,78
64,-108.22738956808644,62
65,58.98666819044399,79
66,-82.7649844694512,63
67,-84.76867534005808,83
68,-101.69822149947043,89
69,-111.4890715372795,60
70,-107.49180528330646,54
71,-73.59457830825994,60
72,-92.78874392246917,84
73,-11.149477890589111,51
74,-145.20944815617003,77
75,-136.15335104887492,67
76,-110.64832682241425,77
77,-113.60092569350923,63
78,-32.011916516939294,85
79,-105.64153647404714,62
80,-105.9668304016518,53
81,-76.72778916013442,53
82,-67.81773338989396,55
83,-111.49892742527055,75
84,-85.50465119940421,54
85,-77.54752494916443,75
86,-110.62182863756817,93
87,-91.63649013692944,72
88,-109.68254426670566,76
89,-77.9949157962345,55
90,-100.0,81
91,-110.30731031765197,74
92,-119.92547108734027,62
93,-132.25130678597367,78
94,-73.68008381875862,56
95,-81.91597520848228,57
96,-121.0703992413084,74
97,-95.3512400679802,62
98,-99.9477945312187,55
99,-111.29954699880898,65
100,-96.85255517663722,73
101,-110.70090453460489,61
102,-100.36224592000187,53
103,13.166842782847795,68
104,-98.2218794630524,86
105,-84.07429720610824,88
106,-107.47441278955631,60
107,-91.50310656822143,83
108,-79.01377042326345,75
109,-102.8769971353307,88
110,-75.64668829484211,54
111,-119.52732825003264,78
112,-196.16545734328577,97
113,-92.57124279263297,83
114,-90.69568287193249,52
115,-105.95192446614863,88
116,-82.60400850953553,84
117,-68.31858016540798,59
118,-112.0181521739205,91
119,-93.81309717686614,74
120,-94.33852350631489,83
121,-85.88088962470249,89
122,-103.40617049889482,58
123,-153.4846541310642,79
124,-116.28474958156525,82
125,-73.11912263827327,66
126,-92.17702836689324,55
127,-75.51185724003136,73
128,-111.81652780262334,70
129,-99.19041101337794,86
130,-70.48922104661554,72
131,-88.41277446081351,75
132,-141.4505112090584,190
133,-106.20191466249744,67
134,-100.0,81
135,-65.47873137572901,69
136,-94.45541102488204,55
137,-113.44606879737901,74
138,-106.37042452036809,73
139,-137.1233270275175,217
140,-77.46008825291588,66
141,-103.03045680430276,58
142,-87.6876297476773,61
143,-79.66232325982787,70
144,-79.34107274795366,77
145,-92.21870812177502,64
146,-127.03446195378308,66
147,-121.38603979890252,67
148,-101.2259814589458,88
149,-72.34849973807653,60
150,-93.51302189312813,67
151,-161.34415333200016,74
152,-106.65575079139961,86
153,-90.8411349091885,57
154,-107.34439906391339,69
155,-69.50247810103153,70
156,-84.77105606306006,56
157,-136.8423558607024,70
158,-96.08395341175083,85
159,-105.93111482841994,88
160,-81.60816598041697,72
161,-81.60442318812511,62
162,-107.88755046271484,74
163,-123.64217487640556,83
