,Scores,Loss,Episode length
0,-808.2280113992457,975.2856407165527,108
1,-1357.5715960342618,20057.67929840088,200
2,-566.3132737775022,9530.143173217773,67
3,-383.14548497728913,6439.839988708496,53
4,-569.8758089614605,8772.074668884277,66
5,-654.8895856831718,10708.608360290527,84
6,-381.581825586764,8989.127145767212,62
7,-0.8035282037913873,9129.955968856812,62
8,-147.3888901563645,8917.639678955078,68
9,-100.89797843621056,12007.977752685547,87
10,-149.30195057946005,8637.818412780762,58
11,-146.01691710436404,12457.840599060059,80
12,-20.385592553061045,10069.104389190674,77
13,-382.1631259137984,13176.172576904297,74
14,-381.87881236393343,7218.843654632568,55
15,-565.1112139233026,8878.12134552002,60
16,-400.94905375415397,9100.457015991211,51
17,-439.39273097765465,13911.340187072754,85
18,-49.21762723738604,10913.892436981201,80
19,-155.23867997149517,9732.19741821289,75
20,-102.00158661563967,10075.576480865479,87
21,-122.06619860744132,9202.228500366211,61
22,-138.26221817366243,8467.413591384888,64
23,-149.98238534167325,9923.71068763733,57
24,-3.682775780294918,7757.074321746826,75
25,-219.66778752424818,18087.283779144287,140
26,-265.65897417707333,12730.06187915802,104
27,-469.79768679153347,10543.47430229187,95
28,-709.8124252238138,10575.627464294434,82
29,-853.5578396617719,13779.876816749573,85
30,-596.3736914171891,7348.200814247131,79
31,-290.59838808973683,8389.883316040039,91
32,-128.66989185387973,13135.752577781677,87
33,228.3626764204176,17864.953009605408,193
34,-143.0679287715231,4597.550625801086,52
35,-46.39323631857721,11100.630805969238,82
36,-105.90496518521485,6382.238512992859,55
37,-129.01019778008634,6183.874732971191,61
38,-120.10804300234838,6292.744197845459,51
39,-139.85653206982857,10333.14093208313,89
40,-137.7854467821079,7693.158050537109,66
41,-103.6889689188942,5871.270736694336,56
42,-187.9828206895661,9502.852903366089,85
43,-48.83587502004488,5711.728046417236,55
44,-106.89339232259488,6884.765602111816,58
45,-153.8652540077086,7801.286056518555,58
46,-135.63007857451402,7308.173135280609,73
47,-90.76360641470907,6897.741144180298,54
48,-116.47332052031234,8769.846048355103,78
49,-139.82292786430756,8253.705878257751,76
50,-134.60121884831105,5629.824999809265,66
51,-158.20070532316493,8149.937953948975,78
52,-121.05210595307028,7917.185619354248,63
53,-154.3172793380889,8436.445880889893,86
54,-142.34617114864187,8422.500849246979,78
55,-133.69883935721268,7974.147374629974,74
56,-169.08037684925017,7353.084230422974,68
57,-115.85697341059065,5714.033009529114,53
58,-87.82128285934567,7175.097480773926,52
59,-133.47439113374477,6547.6420612335205,64
60,-168.17095730577995,9669.30473613739,83
61,-96.24917106416595,5389.043300628662,59
62,-102.33513097630484,5329.862313270569,58
63,-42.92354488067133,7191.55374622345,64
64,-137.28426802574467,6200.22546005249,56
65,-121.81623133277182,7739.15110206604,73
66,-131.94086024964167,5817.0337200164795,59
67,-206.2945977511826,6758.241279602051,91
68,-152.65776563872055,6207.882534980774,81
69,-157.2709427095597,7574.588068008423,84
70,-145.60443414655046,7139.268171310425,89
71,-162.4261825906168,10964.326559066772,88
72,-88.61790425354272,9484.535507202148,83
73,-139.9149774301617,5343.755353927612,64
74,-30.538220803831592,9484.222108840942,91
75,-109.98060028529183,7779.469786643982,74
76,-143.502671582158,8371.768472671509,87
77,-184.3240873388857,9325.600486755371,80
78,-151.41899330559758,8120.707790374756,84
79,-138.45072090086302,8800.779502868652,91
80,-159.0175123200345,5600.963207244873,67
81,-147.12867381707224,10476.524221420288,81
82,22.001293131860137,4773.31788444519,61
83,-167.09783728614363,7698.139238357544,78
84,-142.77827811681198,8896.724670410156,70
85,-210.7892077146961,8427.279916763306,77
86,-170.17339147238962,5908.482397079468,58
87,-115.0090850917639,5970.490089416504,59
88,-90.2532126850559,6042.812101840973,64
89,-82.17821391888835,5725.9472551345825,69
90,-87.53005872104346,5136.346020698547,60
91,-157.28321213037583,5133.0857009887695,62
92,-122.5768695154845,6267.995525121689,66
93,-133.5323190229556,7817.305601358414,65
94,-153.8108085640503,5682.356130599976,73
95,-133.16380594169877,8758.058229446411,80
96,-81.07343771593601,8173.737496376038,75
97,-146.76186449987256,8011.998153686523,62
98,-167.56682905249795,9730.389961242676,105
99,36.40512794768023,8434.80392074585,68
100,-113.25489062896034,8921.917137145996,86
101,-116.47188291454395,8580.09194946289,65
102,-107.36435557139568,8146.654541015625,57
103,-144.89893363417602,4017.5838356018066,69
104,-63.745632384487465,7504.880531311035,62
105,-120.68079019402882,5734.0928020477295,68
106,-107.86108223750584,7378.055835723877,60
107,-130.60219267113584,8583.597301483154,92
108,-44.98391291204733,7627.606062889099,84
109,-152.88118549352674,7117.292320251465,96
110,-179.0337345424509,9626.814973831177,86
111,-93.44499526019695,4798.900622367859,67
112,24.41029895210437,9311.679363250732,116
113,-84.88552595289815,5759.835544586182,54
114,-104.63830460037653,5515.04531288147,64
115,-37.270005234863234,6923.450565338135,55
116,-81.61601975485335,6950.177965164185,68
117,-127.48216989325357,5733.496403694153,71
118,-130.28300408771105,5263.023597717285,59
119,-182.16065876129346,8294.550093650818,83
120,-85.43001043270834,10206.685490369797,82
121,-74.10995917351883,5964.226316690445,62
122,-99.1319516014685,4588.411897659302,53
123,-65.24804288747299,6515.080884933472,63
124,-87.56095269624576,2463.0411281585693,55
125,-142.03084472197287,5241.265027999878,65
126,8.11873518708748,8924.458099365234,87
127,-178.11855565226364,8480.103744506836,85
128,-72.19576911244441,5004.526235580444,61
129,-142.99741493127863,7240.48318862915,72
130,-99.85494103762231,7756.161052703857,58
