,Scores,Episode length
0,-79.33232952108219,70
1,-67.80804558203978,80
2,-98.02257571347147,126
3,-178.1323858048578,177
4,-147.28758829299963,87
5,-115.6991256597067,123
6,-224.0402410697171,72
7,-15.448611282987741,82
8,-118.58601351535464,80
9,-125.18978925181968,63
10,-100.0,61
11,-161.69492839195874,106
12,3.6903873927711146,87
13,-221.89927901428487,75
14,-233.42517419370756,71
15,-278.93251444534644,92
16,-197.84812670427908,89
17,-162.1668947019478,66
18,-114.02276390145468,62
19,-265.028167714642,60
20,-217.02527884952727,54
21,-115.02039748795144,62
22,-190.26413602803046,86
23,-312.211886915136,78
24,-195.28148530735342,70
25,-168.45110392591698,68
26,-190.94889027468105,69
27,-133.07724118850183,84
28,-108.75527298862411,83
29,-113.26984013706867,82
30,-205.13042539149325,134
31,-241.4482329523994,97
32,-259.61700055110043,120
33,-100.0,181
34,-151.66592938661256,113
35,-235.67123318960074,115
36,-151.1097987934947,157
37,-248.2430974795548,79
38,-166.2477818286327,130
39,-162.473713896918,88
40,5.290616513825398,149
41,-119.25821049863289,83
42,-100.0,81
43,-111.19616524694452,102
44,-247.1896454612084,171
45,-100.0,81
46,-100.0,81
47,-229.76877254256203,114
48,-292.7748442817491,215
49,-165.347624559826,110
50,-170.2345343887479,173
51,-151.5766301318203,107
52,-216.80472971726687,114
53,-145.95162077370776,65
54,-219.42124739063559,77
55,-254.41119661168224,60
56,-111.29940402561843,62
57,-174.47798612431075,69
58,-100.0,81
59,-233.76195313857872,94
60,-248.05685947381627,76
61,-160.69761869159478,147
62,-187.4304061122633,92
63,-226.6790277575442,97
64,-100.95413769194707,112
65,-168.99486948025714,128
66,-176.70923353103768,110
67,-224.17688347444366,139
68,-166.84294749584433,131
69,-124.54088380204799,205
70,-184.6864309415613,78
71,-157.34423590825588,76
72,-253.21039559351735,77
73,-124.9434000571404,74
74,-205.18025599750345,93
75,-151.85665544597356,86
76,-97.07662496939912,115
77,-169.7175121747045,77
78,-238.2306239190842,118
79,-231.775879783444,77
80,-92.25809418716722,117
81,-215.15182490840084,112
82,-105.90839407527208,142
83,-207.6171242586247,80
84,-217.8227620953023,94
85,-225.45451182813952,80
86,-0.90415272259483,124
87,-100.0,121
88,-228.94137897159442,79
89,-189.2453893060292,72
90,-159.72379963855605,86
91,-196.43370597111556,80
92,-147.06529573882207,107
93,-172.64867259188736,235
94,-108.13281293367879,162
95,-107.10905975068196,65
96,-130.37745898641097,106
97,-238.79082207678667,100
98,-130.98914317635248,89
99,-143.21742209745906,112
100,-149.34538640981987,212
101,-124.87382209554595,68
102,-86.28802763066207,119
103,-76.08252683991721,95
104,-116.93290253540684,109
105,-138.98285583563313,107
106,-93.38823402145681,94
107,-175.45310053567025,91
108,-115.8219445643144,107
109,-100.0,101
110,-122.00210230790267,153
111,-89.64037524392155,110
112,-206.1230048408712,93
113,-303.6642722207903,75
114,-173.76459544495293,113
115,-152.47007349539655,80
116,-237.63083895461665,147
117,-226.93955109791517,137
118,-99.910877324522,82
119,-237.0801045272124,118
120,-187.7037272519968,134
121,-109.92017940078696,83
122,-100.64942841561009,91
123,-218.60737524075506,78
124,-100.0,141
