,Scores,Loss,Episode length
0,-119.3805125836402,55.52671241760254,95
1,-141.64570716992736,5364.206052064896,63
2,-160.4276685560962,8452.149864673615,106
3,14.723176136946606,8697.696769237518,99
4,-163.04287072771308,14477.970450401306,133
5,-432.22325912607647,9390.639867782593,98
6,-238.67191076881545,8203.087670326233,78
7,-288.2125481660522,16176.622272491455,128
8,-302.91194859432534,9492.066004276276,98
9,-341.6288421410079,12072.879768371582,118
10,-111.08792850297888,8633.265550613403,78
11,-83.02932153416083,11570.830244541168,118
12,-403.4269654752947,14437.044270515442,130
13,-150.5394724062756,10472.33880853653,80
14,-126.9361626081844,8779.205521583557,81
15,-240.7233688549982,7402.800169944763,71
16,-100.70653539720107,9649.88402557373,76
17,-437.92552913163473,8538.96389055252,104
18,-514.1824168905589,14345.625381469727,138
19,-78.44293007087343,9124.765424728394,76
20,-89.00726260405469,8283.456433296204,79
21,-302.6181253713793,11044.402366638184,108
22,-124.90465557306263,4791.674542427063,59
23,-301.4152820672448,8399.179600715637,105
24,-219.8783256747256,5419.88140296936,66
25,-142.5004123647077,8134.780681610107,71
26,-118.95412858784451,9103.93877029419,95
27,-330.2299405151961,10400.317464828491,89
28,-266.7417370790795,12567.547306060791,108
29,-98.65879150170247,7404.033945083618,84
30,-58.907581752951586,6790.364183425903,73
31,-90.0233901237555,7487.17978477478,98
32,-186.407226456711,9182.702467918396,125
33,-415.87932182016954,7188.75671672821,89
34,-108.3606677425292,6242.478008270264,73
35,-138.16165801485957,8006.687372207642,89
36,-85.24263814973114,9402.535625457764,88
37,-156.63680967709217,8517.181211471558,77
38,-127.27356466930851,5837.233058929443,72
39,-307.5895605162704,6623.170454025269,68
40,-63.243217877364074,6506.5463943481445,66
41,-100.07115402793058,4957.451537132263,61
42,-108.48499188707552,9102.827255249023,91
43,-133.88323429270383,9905.62470626831,90
44,-60.32232161131697,5554.630630493164,60
45,-98.31252494640957,6969.083067893982,62
46,-292.49753986093344,4830.334852218628,78
47,-156.46540621256577,10497.078252792358,127
48,-280.1532155719941,8364.680736541748,102
49,-149.19752812055765,11795.97420501709,137
50,-102.51808109886507,5917.107923030853,82
51,-157.73689934122524,5832.610550403595,74
52,-285.29321502941923,12563.07607460022,122
53,-91.38254716904319,4708.5400390625,71
54,-349.1955986533257,8102.441909790039,105
55,-337.0642988015444,8304.956869125366,96
56,-391.63997619379376,6042.535153388977,92
57,-122.01741620644171,8453.808970451355,77
58,-9.301639644396587,7353.558582305908,73
59,-195.2703076079017,8598.12713432312,101
60,-119.331362729863,4763.249746322632,58
61,-119.6995181756869,6151.929856300354,100
62,-93.15384768421504,5770.010665893555,69
63,-289.17869398121076,7037.989582061768,87
64,-66.59232405555723,8895.197299957275,125
65,-86.98280476991968,5586.217376708984,62
66,-144.17703433888124,5986.743576049805,78
67,-413.98502575838415,7200.697575569153,95
68,-534.5344918208169,9023.232736587524,122
69,-368.56525510405504,6148.504033088684,93
70,-111.5975746461892,5946.902029037476,105
71,-206.7635795340223,4193.2446937561035,70
72,-133.72003684561705,8633.814142227173,97
73,-60.41444812151163,10432.254417419434,119
74,-118.05398870291558,9409.35078907013,101
75,-336.69812362560174,6899.075729370117,102
76,-111.2689671465015,6274.919568061829,74
77,-118.6156420321108,2659.420873641968,67
78,-221.27057984988144,7115.6618003845215,104
79,-102.43050736023653,7963.6307373046875,99
80,-355.2746232592609,7862.1028118133545,102
81,-93.09120608924802,6836.567521572113,130
82,-105.22312460429467,6103.224047660828,110
83,-362.656214103195,7137.971244812012,95
84,-173.35910794970462,4075.885227203369,58
85,-212.2951881408576,7985.265687942505,142
86,-158.9280675886043,4738.850968360901,67
87,-368.7983069009928,6744.722509384155,91
88,-85.06095100231303,6021.187898635864,102
89,-351.09411428434237,6223.35523891449,99
90,-98.81079999095161,5006.810203552246,68
91,-173.8486854952991,7196.116264343262,115
92,-73.24491552588402,3753.53719329834,84
93,-8.45992469440317,7708.303446769714,115
94,-184.1799861586822,7023.397212505341,108
95,-92.70051433899066,5690.75324010849,89
96,-363.5654385594354,6568.078830718994,99
97,-82.5857052602334,4428.370553970337,81
98,-95.08700065864679,3645.862753868103,68
99,-107.1778450209298,4621.508810043335,96
100,-485.3193048960077,5106.114798545837,78
101,-109.01997259059928,6030.665243148804,88
102,-328.30026598446597,5889.193793773651,98
103,-278.12431946963466,5810.621663093567,103
104,-72.31061599169652,5397.869211196899,75
105,-155.03978129121685,8654.226236343384,101
106,-123.1461478446111,9241.601851463318,137
107,-201.7373852248213,5542.3809242248535,87
108,-117.72629216434932,5102.155848503113,90
109,-111.55690632241613,6725.621623039246,115
110,-118.42759634522199,5259.145858764648,94
111,-169.06519611320667,5996.810222625732,99
112,-212.1271029296038,7558.673397064209,112
113,-188.66736271051235,4936.118296146393,120
114,-392.3611950325486,5528.66619348526,101
115,-115.99657797731062,4522.16708111763,69
