,Scores,Loss,Episode length
0,-538.4701431171213,2681.31494140625,75
1,-663.3515108027888,79066.17272949219,115
2,-726.8843861623312,61668.228759765625,113
3,-493.00860937312177,43382.9189453125,62
4,-623.965393264583,57766.59680175781,72
5,-432.943204813264,68594.72045898438,78
6,-144.28943807020698,42426.28381347656,54
7,-329.53217060727013,63861.156494140625,92
8,-796.7442049029847,59387.28857421875,87
9,-436.71185637525014,52053.465087890625,67
10,-130.6608311564973,63518.242431640625,81
11,-151.5015477449882,65733.46893310547,86
12,-118.01546391611362,52441.903564453125,75
13,-114.42422391678247,26317.641967773438,51
14,-159.84744136469962,45775.4765625,65
15,-137.76145289951108,44552.288818359375,68
16,-172.03879630832654,36983.584045410156,69
17,-142.75046317409428,50738.55288696289,80
18,-116.50609685892547,41811.411529541016,79
19,-88.03915859417799,28239.724853515625,52
20,-125.99945560550495,44682.13330078125,83
21,-191.28842429079077,30999.981658935547,69
22,-332.0679319489963,41514.8122253418,87
23,-350.9161821365312,25398.89971923828,63
24,-310.4757253052092,20602.436279296875,50
25,-467.273321252843,35316.688537597656,69
26,-395.34204032287994,28629.524841308594,47
27,-328.87910358988586,21126.268615722656,50
28,-352.94901951624297,30064.761993408203,70
29,-296.26057601044363,32790.019622802734,89
30,-254.63070759011487,30609.424560546875,78
31,-197.83119727323296,31451.90934753418,83
32,-148.13285047832954,27022.349822998047,57
33,-124.61332327034485,27602.811935424805,72
34,-158.05189473101322,24032.18049621582,71
35,-112.92594109750793,19658.303436279297,61
36,-155.26947959851566,27689.623962402344,79
37,-143.19973071564993,24019.577392578125,65
38,-139.66150964091617,21683.86737060547,55
39,-119.97701024087817,27887.17559814453,73
40,-148.21073128426292,27223.72540283203,74
41,-141.45280273001936,34787.23794555664,84
42,-156.14048773041998,17353.027542114258,61
43,-128.77625195511746,20225.33511352539,67
44,-146.2756694410722,18705.500534057617,54
45,-141.03591963046293,17592.171646118164,63
46,-138.50270992973424,20488.83773803711,65
47,-118.19395193206181,18478.838317871094,67
48,-205.67154902923113,25153.310424804688,72
49,-183.53662329054956,19296.185516357422,57
50,-170.15792455670825,16016.713661193848,53
51,-160.45177698000117,20883.452278137207,64
52,-184.11059106608164,17933.519760131836,55
53,-136.58114547235581,26937.372940063477,89
54,-158.31598219269384,20246.77610015869,79
55,-251.21423596720683,30010.442726135254,92
56,-102.13831803633684,22550.42897796631,74
57,-49.43576118885328,20997.83656311035,62
58,-210.76788716779373,21956.220458984375,74
59,-107.38618569264548,17990.0712890625,60
60,-147.5822660812873,17623.843673706055,72
61,-183.1964545329393,23138.84506225586,70
62,-143.7521276105347,21818.696655273438,53
63,-122.43121573723548,19539.201629638672,57
64,-132.5195746257043,16011.70011138916,55
65,-147.85699403702301,17261.068000793457,66
66,-113.65687369813227,19257.483283996582,69
67,-141.04717731944055,15727.221530914307,58
