,Scores,Loss,Episode length
0,-918.8541130316997,12375.604278564453,133
1,-963.709230100456,60717.308532714844,171
2,-593.9424950430966,34425.41775512695,73
3,-529.6896552182179,36700.77722167969,69
4,-657.8127036596211,46956.883239746094,80
5,-475.8557396890092,38648.032653808594,67
6,-279.1218048652637,48426.462829589844,89
7,-442.68811260777477,44370.22723388672,85
8,-746.065364826338,42679.71520996094,75
9,-432.91991229348366,49172.058685302734,80
10,-385.677224900435,35506.40640258789,56
11,-316.4805411564814,34991.17462158203,54
12,-484.5504735114505,47207.261779785156,73
13,-409.8919801909896,55054.12451171875,75
14,-289.91124639774273,60919.61669921875,101
15,-204.64986562217035,68986.39688110352,113
16,-405.3311685648312,290649.16638183594,817
17,-351.0755270312868,24510.25813293457,112
18,-560.6972637139247,20274.45684814453,110
19,-668.8476178671236,25661.0597076416,102
20,-419.7733830613496,19362.570434570312,80
21,-460.1785549004587,17378.42658996582,88
22,-249.3367846052532,13877.066192626953,71
23,-219.50532537338552,13481.938980102539,69
24,-278.08833205909673,12101.378089904785,70
25,-321.9905509826706,15084.416976928711,68
26,-224.3933734901397,10847.231170654297,60
27,-258.03842737596256,12444.273651123047,58
28,-226.9855914408755,18857.954528808594,84
29,-121.7805022135082,14783.94790649414,95
30,-137.17446704814836,43327.22120666504,205
31,-447.03875661772236,20475.692474365234,101
32,-502.0703407938622,20760.184089660645,102
33,-420.61542991295545,27419.145988464355,123
34,-527.9741883175427,19473.01067352295,106
35,-653.2517446685622,18249.47198486328,104
36,-622.8812519062021,17425.398811340332,95
37,-445.67713808886714,17382.470138549805,91
38,-488.8756161688043,14704.882522583008,68
39,-376.76182924187935,10882.883697509766,55
40,-260.65893692513896,9819.100769042969,51
41,-229.69235434692933,16285.840866088867,76
42,-211.37490894487763,12288.00260925293,51
43,-229.21299349885746,10822.677291870117,54
44,-194.95384597234806,18252.88306427002,86
45,-204.78424711877858,16640.28298187256,86
46,-313.17347124582284,13639.81665802002,72
47,-376.4606343006223,14557.683715820312,80
48,-253.54534995694797,16531.434020996094,60
49,-236.9460316606445,17474.209671020508,72
50,-238.9566833695036,14575.878494262695,68
51,-267.3316661271402,14072.995483398438,71
52,-188.7712832877598,9977.2105178833,54
53,-141.34036169116007,12550.873512268066,53
54,-238.59685706761783,17408.074157714844,85
55,-391.4806266839484,18742.81478881836,81
56,-482.6602932408753,15043.60531616211,73
57,-384.481339502922,15984.734405517578,79
58,-381.77462660114116,11233.65200805664,59
59,-347.851521162062,8682.181121826172,54
60,-389.26390641451445,13208.152526855469,58
61,-433.6376177233119,13300.808471679688,70
62,-298.7794863530213,10788.547149658203,52
63,-384.6587363653573,15124.197952270508,76
64,-324.7706471517799,11764.766586303711,60
65,-539.825283027727,15495.069778442383,88
66,-501.0546357929535,19560.823272705078,94
67,-433.3368653871541,10758.239501953125,80
68,-517.7864845253207,11840.510955810547,75
69,-325.87109897000977,16409.213180541992,82
70,-245.05081064063086,17389.071769714355,87
71,-67.40880400904784,17446.603141784668,86
72,-55.939473918790924,17103.546905517578,90
73,-56.994754979190596,16122.07592010498,91
74,-78.70556842144126,18215.15727996826,96
75,-50.72956334729342,18315.193420410156,95
76,-36.76773442223867,26040.668601989746,152
77,-154.8274829586591,44069.901306152344,269
78,-135.3046555111157,157267.42626190186,1000
79,-105.37118407622259,130563.12895965576,1000
80,-150.63605290733352,22119.008934020996,179
81,-142.7421455513395,103873.86670684814,1000
82,-110.49605008465986,111625.83570480347,1000
83,-250.1104203581468,57447.80109786987,569
84,-134.25279787990348,12764.233932495117,121
85,-224.5441390681528,58868.55562591553,705
86,-175.75899255998243,88887.767993927,1000
87,-186.2461041098299,67919.45751953125,1000
88,-256.4653723608874,21923.213720321655,290
89,-240.08877896566693,10704.848476409912,192
90,-270.6803631927911,11109.604574203491,169
91,-198.7458331288827,72976.8059387207,1000
92,-169.39884802000512,68172.23333930969,1000
93,-233.00877710013293,31960.77293395996,453
94,-226.17172529547918,20837.85555267334,329
95,-236.0098670554402,62434.70512199402,1000
96,-171.08993332655294,67534.49233436584,1000
97,-231.6259259052852,63818.94590759277,1000
98,-199.10215918883173,63580.3285484314,1000
99,-231.069238584694,61510.72197723389,1000
100,-159.0094444758636,48575.56732940674,1000
101,-159.6413329372471,57369.119972229004,1000
102,-168.80586529898858,70748.6293964386,1000
103,-230.89560280968885,45390.15008354187,1000
104,-166.03041297528287,62109.58083152771,1000
105,-203.46655884678202,49223.97316741943,1000
106,-211.39182715922547,54749.62596321106,1000
107,-182.87394032640472,53903.63360595703,1000
108,-178.404471151591,46846.53568267822,1000
109,-204.70449286243039,47737.839921951294,1000
110,-197.87696015900556,45065.62366294861,1000
111,-220.8139795504346,50095.46942615509,1000
112,-161.9129297427337,48780.352628707886,1000
113,-184.32947132885133,56403.273933410645,1000
114,-214.6674644898816,44478.658920288086,1000
115,-150.63685064367266,56298.11559295654,1000
116,-150.9535837704689,43323.544887542725,1000
117,-157.6388207345433,60770.328373909,1000
118,-201.56596398508768,45179.00498008728,1000
119,-170.59893113751502,42800.19624519348,1000
120,-153.92381148849068,45992.21190738678,1000
121,-188.1465837501954,56531.81678676605,1000
122,-166.5069935393089,39697.167419433594,1000
123,-147.33243231958596,49286.50589084625,1000
124,-181.50991802476042,43874.81792449951,1000
125,-120.99190916854984,46292.865471839905,1000
126,-185.41650171586582,35633.15876579285,1000
127,-163.76087144046474,46374.60780143738,1000
128,-152.90966503736416,43760.40228652954,1000
129,-148.3953705683604,39185.19971084595,1000
130,-160.00735878555207,56416.722725868225,1000
131,-181.0537445226071,46757.8156785965,1000
132,-141.24554754077408,41761.78317928314,1000
133,-205.76585334805054,46243.58289146423,1000
134,-161.0789549125814,47313.669125556946,1000
135,-170.3001827554934,37406.451946258545,1000
136,-134.3701094408974,35090.040848731995,1000
137,-154.43090119060423,35090.133823394775,1000
138,-326.0783716065813,37528.16377067566,877
139,-178.33485919846916,37839.206837654114,1000
140,-335.657200618542,35926.68834877014,825
141,-229.3545953453608,14432.8618516922,332
142,-162.61257618923963,40768.93764591217,1000
143,-206.7337204544631,37565.173340797424,1000
144,-331.51914851585053,37725.53242588043,998
145,-234.3722687781494,24837.4348487854,563
