,Scores,Loss,Episode length
0,-130.24597507505567,167.3777675628662,85
1,-14.309038615256995,15657.062118530273,67
2,-147.56964159057833,37673.34375,134
3,-103.21021201341378,21627.4444732666,88
4,-102.0634886999143,19533.25180053711,75
5,-94.1249437104798,44998.580127716064,135
6,-146.825540589502,35386.16933822632,108
7,-271.4873016936875,37655.32571601868,114
8,-129.55902561940172,24676.323495864868,78
9,-67.07899708412765,19855.803871154785,71
10,-153.8382558126184,42426.603996276855,140
11,-145.86452872515045,24387.224319458008,69
12,-143.00707345594674,20542.77689552307,66
13,-129.4094420621968,47137.71595954895,126
14,-161.8900881629466,24835.927070617676,90
15,-79.77585226187287,24687.54246520996,76
16,-104.07695974424273,40180.084213256836,111
17,-109.15861561166115,34175.520599365234,106
18,-99.63147185543872,29245.421356201172,68
19,-103.8293547491794,28482.593864440918,76
20,-107.84990518453608,24281.763050079346,78
21,-249.59811726716433,36632.571868896484,100
22,-75.31779625591749,28222.54741668701,91
23,-63.263658033289374,21205.813720703125,64
24,-193.74206373271477,23167.945693969727,78
25,-128.8061695333453,23243.893627166748,80
26,-116.48576887872733,26256.85216140747,90
27,-102.42512037814531,29250.332145690918,92
28,-355.39582728144495,32592.329261779785,95
29,-308.0989976723822,25713.487602233887,80
30,-211.4036725779833,25914.010013580322,77
31,-154.3562425880029,35345.58190917969,105
32,-50.42298090626289,23691.366554260254,65
33,-557.6988145617083,32586.525604248047,111
34,-352.512371572905,30639.240524291992,90
35,-185.06260208242412,41728.84551239014,114
36,-135.13573097480463,43958.573989868164,118
37,-117.44410817024652,19577.0460357666,65
38,-115.09370270424824,38454.54941558838,113
39,-89.25354441290477,23245.911922454834,69
40,-87.65563445637203,22046.416534423828,57
41,-336.29638002729257,28813.244010925293,99
42,-156.1580748668644,35241.410873413086,99
43,-377.81086116676585,32783.375228881836,87
44,-188.0169819516438,40281.73876953125,127
45,-262.60995842532793,48626.27080535889,141
46,-249.37603584383524,16218.33169555664,61
