,Scores,Loss,Episode length
0,-98.02122149479457,175.53392791748047,72
1,-57.18239677514643,6121.472821235657,69
2,-59.50621064644231,8937.180721282959,67
3,-430.2621128791608,8981.353659629822,90
4,-110.17567535099711,8938.92504119873,77
5,-67.41182714788255,13717.726066589355,80
6,-478.6896480182692,17989.76628112793,130
7,-80.0416555258679,15613.434745788574,141
8,-109.47792003080586,4843.839483261108,60
9,-100.79103443516395,14823.06583404541,88
10,-306.7535433821599,14930.699035644531,98
11,-120.49181529844496,9653.124778747559,72
12,-141.74355415971314,11877.778415679932,93
13,-209.77081526568904,9276.727800369263,69
14,-95.13184244209587,8346.304672241211,65
15,-76.94518445336442,9768.98857307434,79
16,-63.10816329177425,8065.919279098511,72
17,-322.13286507188474,12179.615989685059,95
18,-174.89347994573495,13602.79647731781,97
19,-160.22873259809717,9951.746327400208,64
20,-395.19822424799685,6570.3937883377075,83
21,-94.788130550274,11931.755055427551,75
22,-319.65863635202663,12797.50317287445,97
23,-334.83016747864497,12473.358807563782,116
24,-115.24828464469043,14066.286158561707,97
25,-86.56602855115455,14025.152663230896,122
26,-177.7202741724383,15826.417074918747,140
27,-215.02694687338763,6255.271719694138,72
28,-165.82842647178114,7870.875747203827,73
29,-97.51525256382129,12768.454977035522,98
30,-111.43566276915064,11081.158805847168,65
31,-117.09973056866667,11472.006116867065,128
32,-310.08732072379826,10128.842917442322,100
33,-152.76856611917952,11991.83306312561,85
34,-207.04392688521443,16028.078547477722,111
35,-330.75212552954383,10561.433912277222,100
36,-182.13270373523258,13166.852199554443,112
37,-127.88232903983163,15640.734746932983,101
38,-125.27234729502082,9575.95567035675,80
39,-193.40384285886356,14166.233417510986,104
40,-61.47301669585617,8736.267086982727,72
41,-197.7291975872442,17348.310106277466,119
42,-196.30970146419776,8886.86863231659,87
43,-480.1875661559267,11357.94774723053,103
44,-121.70019366198964,7348.967088699341,80
45,-242.865214571567,15295.352276325226,132
46,-443.6073452500375,15376.05154466629,132
47,-76.72116224262498,9578.513953208923,83
48,-392.87477532641236,9586.67500114441,106
49,-61.438607803805056,9956.04841041565,75
50,-180.89289908099465,10502.933938980103,84
51,-119.3082381447259,9261.533585309982,70
52,-117.75823703752991,11117.207041025162,100
53,-119.76137230928501,9096.74135684967,108
54,-96.36961015643398,8283.414347171783,94
55,-95.84320390222553,13899.196467876434,144
56,-84.2179848203097,15079.569969177246,119
57,-176.3670031075501,8601.036100387573,89
58,-94.61847536299139,10043.116648674011,71
