,Scores,Loss,Episode length
0,-127.04544355170894,86.35603713989258,111
1,-115.141188387164,5513.006467342377,66
2,-245.4623511894125,11552.956310272217,111
3,-488.7088257045196,8990.659976959229,103
4,37.18104194277882,7262.81137752533,71
5,-178.09987287779967,10796.28468132019,77
6,-155.10350672899983,7893.780527114868,64
7,-131.57302086513167,9077.019487380981,71
8,-149.52969445102343,11778.158926010132,91
9,-74.34769336243563,11881.475950241089,66
10,-85.53410172599345,17553.273401260376,125
11,-93.30647316426075,10700.551991462708,76
12,-83.30240778330095,13872.921607971191,102
13,-93.18834207938691,6049.733647346497,72
14,-348.95648281992675,14363.74567604065,107
15,-55.97099997781551,6120.21657037735,65
16,-421.9952298204474,12096.069654941559,99
17,-110.18552074783916,16445.967432022095,102
18,5.722869679293382,16859.37178516388,131
19,-214.62000877759425,12307.622483253479,114
20,-207.2014402968628,9225.098225593567,92
21,-251.3357943609749,12510.340336799622,97
22,-71.64503108589417,10063.000171661377,65
23,-269.8382985600152,12020.470769882202,84
24,-109.47974075160954,8825.207364082336,83
25,-111.96123148320565,15731.659938812256,126
26,-173.15358060019582,10213.789555549622,69
27,-132.64042123955463,11673.13221502304,116
28,-153.88919046118994,14155.679790496826,107
29,-372.84360761581405,5300.330995559692,98
30,-55.643624898060246,10032.530570030212,65
31,-261.4358150302246,12910.692399024963,109
32,-109.82713122084762,9833.482297897339,71
33,-137.96120823830887,7569.742581367493,89
34,-254.25620556044453,9066.368213653564,93
35,-80.18952264007633,15819.348545074463,129
36,-187.8501140154326,13847.19302034378,85
37,-273.5739757026857,13061.816670417786,118
38,-185.69132536567187,12026.392873764038,97
39,-173.9237329857524,5072.697708129883,62
40,-58.493837508483004,8621.796083450317,78
41,-379.7831399797504,12685.761800765991,81
42,-188.7472618862799,8391.443128585815,109
43,-163.53956450201045,12130.044871330261,108
44,-345.5766141313703,8509.784799575806,88
45,-96.36506535755262,9679.244578838348,76
46,-154.15804559319935,8281.779971122742,99
47,-170.52756157318123,16143.369449138641,144
48,-354.7835478283117,10727.105487823486,86
49,-104.27308717906108,14405.257664203644,96
50,-47.34272195786889,17261.078649520874,119
51,-355.9718893887987,7963.905920982361,105
52,-146.22162595130752,12204.344916343689,120
53,-242.70452466591811,7864.497694969177,77
54,-230.5270794291995,9753.3980987072,99
55,-142.13867224021777,8363.180978059769,77
56,-127.73469338109456,11732.1927318573,92
57,-114.37604858107561,7043.641548156738,71
58,-155.7421902435437,16891.139533042908,117
59,-120.10703306506474,9970.368612766266,79
60,-90.60758914696478,6429.799838542938,93
61,-126.26160809529857,12317.009672164917,113
62,-106.1506035397887,7308.103969097137,74
63,-116.24506612199323,15249.928599834442,111
64,-403.3165609558466,13619.464215278625,110
65,-4.549459677960442,12002.912563323975,106
66,-157.77773232900785,8079.596559524536,98
67,-389.4384884440318,10768.77831363678,89
68,-9.052194696826888,12173.393620491028,83
69,-153.89218589251774,10719.310703277588,70
70,-270.2622749945251,10094.081064224243,86
71,-163.5388952215904,10252.643015861511,69
72,-374.1543012481919,16030.09026002884,138
73,-373.5677595853473,11804.46411561966,85
74,-175.66673857632338,9783.859127521515,67
75,-104.48415690621825,8898.880912303925,91
76,-115.5592784251098,10800.130695819855,103
77,-361.36080003653746,12051.895122051239,91
78,-117.17974432985984,7040.81849861145,65
79,-334.61196372477605,14306.34147644043,87
80,-355.01687231886035,12250.035306930542,110
81,-294.3009059833246,9643.145446777344,98
82,-74.19743777402576,7758.130339622498,72
83,-389.24906783788686,10166.971550941467,130
84,-89.74054632823054,4350.30166053772,62
85,-19.825877515040986,7692.152059555054,97
86,-165.14738507546798,5850.2183475494385,69
87,-271.7084094527736,13994.830856323242,101
88,-128.918809587542,9338.21474647522,112
89,-95.87657310061037,10280.894697189331,102
90,-320.98755563554846,11791.89068889618,95
91,-424.74650914973637,12316.943712234497,91
92,-134.15536161311195,10596.197382926941,94
93,-122.91346581214555,7448.525561332703,89
94,-121.11356770739154,8375.325929641724,78
95,-94.49564454725002,8423.252179145813,86
96,-194.47939878812792,9076.952662467957,70
97,-256.54618936314955,8868.176532745361,98
98,-158.80017914820962,5265.547947883606,66
99,-109.30332438463742,7548.357649803162,72
100,-336.1676226906074,8791.765818595886,91
101,-512.3883943805433,10255.034940719604,99
102,-115.11068091437355,6717.776563644409,73
103,-279.2036380372026,10647.948864459991,98
104,-89.43954509601079,8358.233647823334,66
105,-170.3507659386141,12814.663496017456,117
106,-163.1531385088625,11022.720168113708,108
107,-182.59843187965316,5656.6973876953125,80
108,-111.54173625326885,4912.2366771698,68
109,-63.5352928888112,4430.647108078003,68
110,-122.41576598712415,9201.446144104004,87
111,-141.8683496931884,11048.737602233887,117
112,-70.71452385234183,11038.63007736206,89
113,-449.3798546745891,13220.25163602829,120
114,-388.05964397166997,11319.918618679047,107
115,-360.86535992095037,11937.834371566772,140
116,-93.68278966324239,9571.326578140259,92
117,-360.58156349100864,16240.37520980835,116
118,-191.72306779353534,13837.014598846436,111
119,-275.284677966043,10653.44118976593,131
120,-165.24579220023566,5620.28823184967,72
121,-126.05612974717057,10138.40982055664,88
122,-318.42949671169606,7850.994526386261,90
123,-377.96134170192136,10214.356953144073,101
124,-118.8886179304254,7931.874844551086,125
125,-174.1056629885511,7983.379549026489,69
126,-71.02665756688602,9895.509521484375,97
127,-84.90871707583935,10771.932324409485,90
128,-167.0644974208817,6890.224786758423,63
129,-106.93643704034669,9437.009384155273,75
130,-371.38299431226886,6399.058882713318,97
131,-548.5416384829537,13514.692103385925,138
132,-119.91778944042144,6534.121910095215,65
133,-89.04053341719023,8773.47744846344,77
134,-92.89013780434004,12261.87805557251,92
135,-80.50492042471477,7924.443508148193,66
136,-161.09112010458654,10234.981636047363,98
137,-54.99856859550577,10106.785532951355,79
138,-115.02575701956157,12649.7581012249,131
139,-111.62429489830858,8609.622680902481,67
140,-401.2912420657493,8383.082221984863,82
141,-142.50038342206494,9612.767530441284,88
142,-215.96993796963795,7814.86948299408,96
143,-105.70424017555585,6856.057634353638,61
144,-96.67514199821457,12035.907774925232,141
145,-104.43080058847175,12017.460374832153,95
146,-424.64528549164595,11015.260310649872,108
147,-172.82698263676224,8071.334122657776,88
148,-143.9735759013082,11599.318434238434,102
149,-258.12939726545653,7429.3875522613525,78
150,-103.74297558499863,7577.860177993774,108
151,-319.497248830727,8227.900294303894,97
152,-213.88814040374393,7480.925743103027,77
153,-86.63111968751294,7517.748266220093,70
154,-240.7267994040456,8854.69601726532,141
155,-249.03444923609138,10712.034234046936,99
156,-228.00059312306564,7885.518772125244,87
157,-187.52281221046223,8860.765686035156,106
158,-244.64117889207296,9169.60980796814,106
159,-72.301609550996,8906.994676589966,88
160,-214.64755573365716,9719.288751602173,106
161,-134.11305326243982,9998.36700630188,88
162,-289.43954621672907,4697.283535957336,75
163,-139.9674818840495,11248.145517349243,130
164,-140.080223608754,5342.426372528076,75
165,-132.1672152897832,10229.46360206604,77
166,-146.09115209002817,9561.428858757019,109
167,-88.33639506356721,3339.8213262557983,83
168,-173.23426164509223,6790.189599990845,76
169,-77.36667421108106,10579.60175704956,94
170,-97.52665163482807,8776.280468940735,93
171,-26.301180368167522,9558.352895736694,107
172,-148.7332972203186,6271.863118171692,85
173,-61.55305004559216,7654.721992492676,62
174,-113.7278342576785,5300.657690048218,75
175,-92.27697368555057,4897.5988512039185,70
176,-94.01811885538342,7728.98589515686,81
177,-226.12986812123506,4830.843185424805,78
178,-117.39213218349433,7277.083468914032,80
