,Scores,Loss,Episode length
0,-57.101351064514034,0.0,65
1,-302.4371941556153,12257.25086402893,108
2,-227.37873559879546,12652.337425231934,91
3,-177.47941227456283,7056.186111450195,62
4,-325.2787142707057,13178.770261764526,91
5,-267.3871070062894,14829.640027999878,103
6,-168.0951523150616,11985.836053848267,73
7,-114.92553059825434,9830.729455947876,82
8,17.098393016177297,7312.3658237457275,70
9,-419.65491798470305,12948.374705314636,106
10,-228.0986300665907,16384.922745227814,99
11,-103.76773596922972,16864.631100177765,108
12,-317.1635016621175,13361.76888370514,105
13,27.43479135493213,13464.981905937195,80
14,-157.0844456997311,15772.649223327637,104
15,-426.61685982927304,14558.348093986511,95
16,-272.6385917623128,11126.935264587402,117
17,-139.15771752391387,8326.714962005615,70
18,-342.40581014802206,13896.787413597107,98
19,-231.1597536473252,11688.352932929993,109
20,-165.9275226335273,15910.555516242981,86
21,-131.50094254118525,16811.324239730835,83
22,-183.9179763983816,15375.662999153137,83
23,-119.55612544515132,15158.458223342896,88
24,-248.88061371798537,17052.006965637207,89
25,-424.33758542348187,16362.053753852844,114
26,-93.87148363627085,11749.391192436218,73
27,-160.96928847097766,11940.132877349854,64
28,-254.37276723443023,10416.944337844849,90
29,-70.8682843574129,10360.116616249084,71
30,-104.55959818284018,7349.439264297485,71
31,-103.69626745430692,12014.976676940918,86
32,-425.68684327906317,13424.13768863678,88
33,-316.28401520423483,10502.113943099976,103
34,-158.27902676452817,10257.874811172485,78
35,-123.87383988546271,14592.430008888245,111
36,-150.76946067606403,18550.70014667511,108
37,-161.61621241366288,7562.098652839661,86
38,-224.66328990829555,16165.958995819092,97
39,-202.72995386711483,11308.177774429321,65
40,-180.27594623080336,8829.797374725342,80
41,-211.10599400353306,10277.195749282837,67
42,-319.65592252552545,7033.398259162903,77
43,-199.67426603317222,10184.181760787964,112
44,-82.39297101792225,7273.905230522156,63
45,-180.4332394868217,14630.471096038818,122
46,-101.20440737469374,11027.321237564087,78
47,-121.27215600441058,11237.949360847473,112
48,-248.60828918842415,9760.475526809692,94
49,-95.29369306287181,11139.420931816101,106
50,-106.12633500300261,12673.151798248291,136
51,-117.73400747641435,11540.7890625,97
52,-407.1020986073801,9610.246721744537,90
53,-151.21244344268524,9545.569551944733,120
54,-44.59136689669552,7149.898726463318,64
55,-178.83630146053656,12307.187788963318,109
56,-112.62914346941947,7559.042549133301,84
57,-113.3645426812117,8763.219593048096,76
58,-263.2951945668845,9711.894676208496,82
59,-77.10470961672593,6097.481812477112,64
60,-99.30376843372206,6521.245468139648,82
61,-69.79065372958792,13933.512454986572,122
