,Scores,Loss,Episode length
0,-574.087381794807,950.2004089355469,97
1,-353.21128750383673,15341.442470550537,228
2,-338.71011151488847,7087.607173919678,59
3,-406.36488925758533,5711.114486694336,67
4,-369.5445942743153,10475.522033691406,84
5,-464.4659535374331,8175.606281280518,82
6,-399.6392204012524,3224.0955772399902,53
7,-170.0471855420418,7603.835266113281,73
8,-331.1493671962172,12800.044116973877,77
9,-348.20315642070904,15287.950336456299,127
10,-388.9509405025927,18890.263843536377,156
11,-736.7464511749286,14994.608951568604,130
12,-619.1417342500845,12968.713594436646,91
13,-393.73794116958203,11960.178033828735,108
14,-351.14043710119273,7079.573398590088,49
15,-689.7319562253249,12168.423446655273,79
16,-414.813704164995,4610.013294219971,50
17,-217.89368113803235,7418.540718078613,62
18,-20.120480534347593,14230.37338256836,83
19,-171.7261510593993,5098.488662719727,60
20,-160.59467877748372,10543.527648925781,82
21,-39.83639032948328,8812.74132156372,57
22,-160.7218169665142,8310.524295806885,76
23,-87.52030658846962,10350.278652191162,51
24,-187.07957536093872,16624.425495147705,88
25,-115.90892732052257,15283.742991447449,89
26,-148.4420895222915,12651.83503818512,80
27,-120.13183669193944,11299.273658752441,84
28,-158.28594656737988,8972.130168914795,74
29,-113.47410062880428,9583.96056175232,86
30,28.263222059226024,9042.584024429321,71
31,-117.86713064482242,8812.619853973389,55
32,-97.14831031098402,9792.926361083984,82
33,-85.61820161611615,9806.04594039917,51
34,-124.35052891954875,9064.070837020874,81
35,-172.53834551429964,3978.367609024048,67
36,-88.6990052423424,6751.473945617676,55
37,-174.7022897965558,12255.46251296997,71
38,-114.73351907897484,9913.652935028076,85
39,-135.89649350986454,8959.287328720093,63
40,-157.59224704537718,12189.860189437866,68
41,-139.05415863297,10092.084753990173,55
42,-93.2736812662759,9636.941973686218,51
43,-150.98568613753545,9301.010788917542,91
44,-142.0097682373749,13766.92112159729,91
45,-177.54714531777404,8815.525148391724,78
46,-123.21795529827142,13912.614845275879,86
47,-140.2086802848565,9094.808263778687,72
48,-96.51312787464656,7460.767208099365,55
49,-100.62251632133925,8915.45498085022,58
50,-164.31800808591612,10129.356931686401,75
51,-166.37027503827636,7989.071389198303,69
52,-102.10748736235456,6278.162214279175,51
53,-134.98839641064092,7497.751123428345,88
54,-136.92580695355755,4997.242664813995,61
55,-162.7107548070642,10992.233769893646,75
56,-150.63783086845177,10573.958020210266,72
57,-127.1447308250352,8581.273303985596,56
