,Steps until goal,Reward_until_goal
0,316.0,-35906
1,450.0,-41009
2,422.0,-41026
3,765.0,-86396
4,77.0,-4836
5,164.0,-15184
6,472.0,-47004
7,451.0,-46952
8,375.0,-35348
9,132.0,-10648
10,417.0,-40651
11,1057.0,-107793
12,605.0,-54158
13,245.0,-25955
14,740.0,-74504
15,227.0,-25298
16,347.0,-40158
17,481.0,-53109
18,539.0,-53495
19,705.0,-68216
20,261.0,-28202
21,63.0,-5164
22,214.0,-20097
23,173.0,-19047
24,1014.0,-101948
25,144.0,-15607
26,229.0,-23366
27,355.0,-31194
28,440.0,-43048
29,238.0,-29673
30,190.0,-18324
31,244.0,-25371
32,109.0,-11578
33,1002.0,-105025
34,1130.0,-107975
35,350.0,-36136
36,276.0,-25487
37,1036.0,-116419
38,452.0,-48618
39,784.0,-75086
40,213.0,-23451
41,111.0,-11622
42,216.0,-17666
43,651.0,-70449
44,281.0,-27950
45,1140.0,-122078
46,418.0,-43696
47,257.0,-28156
48,266.0,-30567
49,370.0,-42810
50,119.0,-14842
51,817.0,-81798
52,160.0,-15323
53,312.0,-29192
54,1059.0,-109900
55,349.0,-38879
56,234.0,-27124
57,730.0,-81798
58,217.0,-27079
59,354.0,-32998
60,179.0,-19137
61,201.0,-20922
62,340.0,-31507
63,110.0,-12431
64,254.0,-27214
65,277.0,-31587
66,671.0,-76282
67,343.0,-42200
68,985.0,-103901
69,88.0,-8785
70,355.0,-38131
71,148.0,-13932
72,201.0,-24476
73,632.0,-59031
74,72.0,-6182
75,1745.0,-176149
76,1663.0,-170453
77,820.0,-77395
78,1021.0,-112292
79,324.0,-34874
80,230.0,-19244
81,97.0,-9960
82,797.0,-79250
83,278.0,-28034
84,189.0,-21123
85,86.0,-8385
86,933.0,-102809
87,570.0,-56965
88,307.0,-34958
89,232.0,-31814
90,278.0,-30394
91,161.0,-13973
92,85.0,-10217
93,311.0,-37392
94,179.0,-18980
95,296.0,-32189
96,865.0,-93007
97,178.0,-17090
98,159.0,-18834
99,383.0,-35984
100,323.0,-30554
101,541.0,-56964
102,476.0,-51058
103,506.0,-45042
104,114.0,-13615
105,1342.0,-139604
106,209.0,-17760
107,321.0,-32867
108,45.0,-3739
109,139.0,-17564
110,412.0,-42793
111,374.0,-40936
112,1116.0,-118211
113,884.0,-95798
114,808.0,-76391
115,172.0,-13715
116,121.0,-13381
117,68.0,-6419
118,44.0,-4946
119,81.0,-9162
120,1274.0,-135102
121,182.0,-17761
122,117.0,-14798
123,154.0,-12587
124,284.0,-26975
125,115.0,-10488
126,236.0,-20629
127,714.0,-76269
128,80.0,-6801
129,63.0,-6372
130,445.0,-48925
131,101.0,-10816
132,835.0,-82915
133,1232.0,-124073
134,142.0,-15078
135,487.0,-47372
136,864.0,-89539
137,69.0,-4870
138,485.0,-45467
139,1707.0,-178244
140,51.0,-3616
141,368.0,-37589
142,74.0,-9752
143,974.0,-108747
144,216.0,-23056
145,325.0,-33880
146,68.0,-8339
147,166.0,-16750
148,70.0,-6620
149,69.0,-8127
150,89.0,-10619
151,40.0,-3165
152,355.0,-34664
153,274.0,-31315
154,67.0,-8977
155,216.0,-17652
156,423.0,-44892
157,424.0,-48890
158,509.0,-53849
159,509.0,-58297
160,99.0,-6321
161,396.0,-40358
162,345.0,-33457
163,164.0,-20019
164,563.0,-57625
165,224.0,-25578
166,322.0,-39180
167,246.0,-22985
168,195.0,-23049
169,660.0,-66918
170,397.0,-41441
171,376.0,-37384
172,562.0,-53759
173,202.0,-20057
174,1154.0,-107677
175,112.0,-13770
176,51.0,-4768
177,102.0,-11414
178,468.0,-47185
179,360.0,-35619
180,846.0,-98448
181,242.0,-25554
182,138.0,-20136
183,335.0,-36009
184,278.0,-34929
185,725.0,-78926
186,509.0,-62465
187,478.0,-50990
188,121.0,-13182
189,652.0,-58437
190,112.0,-13400
191,141.0,-16697
192,463.0,-53761
193,317.0,-32566
194,390.0,-37681
195,204.0,-20328
196,205.0,-20940
197,671.0,-66228
198,213.0,-23762
199,421.0,-47491
200,944.0,-90555
201,783.0,-83530
202,141.0,-15377
203,1095.0,-110205
204,125.0,-13682
205,888.0,-106635
206,293.0,-34661
207,216.0,-23894
208,225.0,-26361
209,167.0,-13525
210,1054.0,-106240
211,602.0,-63149
212,215.0,-19585
213,512.0,-57179
214,819.0,-80197
215,64.0,-6373
216,216.0,-23580
217,242.0,-26308
218,113.0,-11411
219,190.0,-19958
220,844.0,-92703
221,318.0,-27746
222,799.0,-83316
223,318.0,-41323
224,316.0,-32792
225,610.0,-58395
226,287.0,-31639
227,1142.0,-114344
228,430.0,-42343
229,1214.0,-117101
230,191.0,-16220
231,790.0,-80496
232,124.0,-15772
233,131.0,-14414
234,924.0,-96645
235,180.0,-22224
236,132.0,-12069
237,589.0,-65698
238,663.0,-68059
239,77.0,-12314
240,56.0,-6323
241,701.0,-77848
242,299.0,-27074
243,59.0,-5017
244,93.0,-9059
245,254.0,-23859
246,76.0,-6982
247,121.0,-11262
248,144.0,-12947
249,510.0,-52841
250,413.0,-35529
251,121.0,-13067
252,620.0,-62769
253,78.0,-8803
254,424.0,-42920
255,892.0,-103469
256,404.0,-37695
257,171.0,-16713
258,2288.0,-245557
259,362.0,-38822
260,113.0,-9194
261,88.0,-8258
262,77.0,-6400
263,184.0,-19142
264,186.0,-19245
265,91.0,-11204
266,544.0,-54921
267,183.0,-19483
268,145.0,-17584
269,140.0,-15603
270,105.0,-8488
271,666.0,-72014
272,256.0,-22028
273,2114.0,-220183
274,283.0,-35346
275,1062.0,-100502
276,402.0,-43013
277,144.0,-15038
278,1404.0,-149047
279,210.0,-22722
280,732.0,-72007
281,121.0,-15371
282,545.0,-66450
283,1125.0,-113478
284,527.0,-54024
285,505.0,-50490
286,500.0,-49386
287,670.0,-69770
288,144.0,-12577
289,765.0,-87038
290,87.0,-8585
291,158.0,-14382
292,114.0,-12079
293,168.0,-16085
294,596.0,-53476
295,264.0,-29954
296,32.0,-3314
297,603.0,-68938
298,277.0,-30351
299,552.0,-58808
300,322.0,-34673
301,396.0,-40473
302,83.0,-8382
303,145.0,-18408
304,188.0,-23084
305,312.0,-32390
306,871.0,-90981
307,108.0,-9615
308,165.0,-16068
309,614.0,-68834
310,190.0,-16446
311,208.0,-22109
312,539.0,-55429
313,151.0,-14448
314,312.0,-35190
315,358.0,-36671
316,39.0,-2155
317,134.0,-9980
318,422.0,-49415
319,269.0,-30371
320,508.0,-55866
321,470.0,-50525
322,393.0,-44666
323,83.0,-7799
324,178.0,-17418
325,94.0,-10355
326,479.0,-54587
327,147.0,-13889
328,1758.0,-181137
329,226.0,-26093
330,168.0,-20819
331,111.0,-12233
332,557.0,-62866
333,639.0,-75258
334,304.0,-28671
335,160.0,-19844
336,156.0,-14666
337,115.0,-11298
338,425.0,-42021
339,574.0,-64147
340,50.0,-5137
341,687.0,-67043
342,164.0,-19991
343,152.0,-14093
344,173.0,-18192
345,673.0,-67228
346,721.0,-72865
347,1112.0,-119561
348,328.0,-29205
349,56.0,-6180
350,451.0,-51717
351,981.0,-102190
352,299.0,-26219
353,101.0,-9423
354,108.0,-12146
355,540.0,-63149
356,89.0,-9198
357,78.0,-10325
358,223.0,-23985
359,120.0,-12455
360,605.0,-65117
361,298.0,-34139
362,734.0,-76188
363,175.0,-17356
364,520.0,-56360
365,373.0,-39357
366,937.0,-93460
367,123.0,-13383
368,425.0,-42492
369,52.0,-4741
370,228.0,-22939
371,165.0,-15499
372,332.0,-32138
373,125.0,-12900
374,199.0,-21587
375,266.0,-22450
376,159.0,-17113
377,404.0,-43878
378,235.0,-27694
379,1098.0,-113821
380,413.0,-41216
381,443.0,-44814
382,331.0,-35834
383,489.0,-42584
384,397.0,-37021
385,148.0,-17828
386,388.0,-44647
387,508.0,-50762
388,368.0,-36025
389,789.0,-88071
390,318.0,-31953
391,312.0,-35162
392,181.0,-15997
393,535.0,-58012
394,93.0,-7240
395,228.0,-26507
396,717.0,-73525
397,771.0,-78994
398,429.0,-45540
399,91.0,-7664
400,370.0,-42028
401,212.0,-22113
402,117.0,-13789
403,667.0,-71017
404,126.0,-12220
405,719.0,-79531
406,240.0,-23918
407,566.0,-62962
408,144.0,-15237
409,277.0,-31259
410,97.0,-9461
411,875.0,-90853
412,309.0,-28861
413,498.0,-58914
414,265.0,-23528
415,146.0,-12282
416,85.0,-8171
417,516.0,-57239
418,1211.0,-119346
419,47.0,-4551
420,389.0,-42630
421,162.0,-17458
422,450.0,-47806
423,86.0,-12152
424,390.0,-42645
425,267.0,-28948
426,139.0,-13654
427,330.0,-33986
428,257.0,-32436
429,284.0,-26361
430,94.0,-9601
431,308.0,-33636
432,86.0,-6294
433,247.0,-26966
434,756.0,-73312
435,591.0,-58718
436,446.0,-53559
437,236.0,-24068
438,917.0,-95559
439,196.0,-25581
440,136.0,-12642
441,1248.0,-130723
442,274.0,-28529
443,733.0,-76868
444,331.0,-37496
445,203.0,-21563
446,298.0,-25750
447,188.0,-20752
448,286.0,-31397
449,66.0,-4783
450,590.0,-60511
451,395.0,-49573
452,282.0,-30213
453,122.0,-9416
454,542.0,-50356
455,88.0,-7804
456,310.0,-35544
457,143.0,-13145
458,34.0,-2932
459,442.0,-48381
460,194.0,-19920
461,162.0,-16107
462,152.0,-13866
463,117.0,-10633
464,901.0,-86826
465,555.0,-53920
466,639.0,-63800
467,319.0,-37543
468,1052.0,-111384
469,1130.0,-117942
470,41.0,-2939
471,321.0,-35070
472,163.0,-17274
473,169.0,-17266
474,123.0,-12402
475,61.0,-6754
476,180.0,-23104
477,134.0,-13492
478,505.0,-50190
479,141.0,-13656
480,545.0,-49745
481,924.0,-98764
482,269.0,-21741
483,1642.0,-174241
484,608.0,-59999
485,57.0,-5982
486,425.0,-38812
487,673.0,-64501
488,265.0,-23189
489,914.0,-102961
490,925.0,-100724
491,162.0,-13220
492,102.0,-9623
493,228.0,-26877
494,734.0,-78677
495,97.0,-9063
496,164.0,-14231
497,74.0,-6781
498,72.0,-6168
499,702.0,-68151
500,85.0,-8995
501,125.0,-13186
