,Steps until goal,Reward_until_goal
0,318.0,-31611
1,577.0,-58121
2,81.0,-12915
3,511.0,-46471
4,204.0,-19176
5,718.0,-69518
6,119.0,-12042
7,348.0,-36602
8,234.0,-24551
9,99.0,-8070
10,162.0,-23784
11,561.0,-51723
12,175.0,-16347
13,606.0,-63184
14,257.0,-26536
15,197.0,-18132
16,707.0,-76887
17,220.0,-20358
18,47.0,-3996
19,170.0,-19627
20,460.0,-49453
21,492.0,-54345
22,242.0,-26647
23,73.0,-7363
24,626.0,-76237
25,376.0,-41748
26,209.0,-24952
27,329.0,-36174
28,115.0,-11441
29,136.0,-13253
30,61.0,-5972
31,265.0,-32671
32,460.0,-55294
33,910.0,-93733
34,113.0,-11226
35,282.0,-32161
36,150.0,-16011
37,234.0,-32029
38,99.0,-8796
39,378.0,-39760
40,134.0,-12867
41,307.0,-27564
42,140.0,-15631
43,386.0,-35973
44,249.0,-23840
45,188.0,-24236
46,70.0,-7828
47,219.0,-26198
48,86.0,-4618
49,171.0,-16528
50,88.0,-6809
51,701.0,-75401
52,577.0,-65557
53,917.0,-104088
54,165.0,-16054
55,155.0,-18645
56,810.0,-87551
57,159.0,-14484
58,145.0,-15165
59,86.0,-10005
60,61.0,-4806
61,122.0,-12984
62,318.0,-32267
63,130.0,-13973
64,176.0,-18708
65,545.0,-55516
66,346.0,-41152
67,83.0,-6249
68,269.0,-29603
69,315.0,-29635
70,562.0,-56786
71,621.0,-62319
72,949.0,-105684
73,491.0,-54400
74,628.0,-70827
75,421.0,-47850
76,345.0,-37255
77,363.0,-36191
78,338.0,-36578
79,352.0,-33537
80,755.0,-88435
81,339.0,-35615
82,196.0,-23263
83,133.0,-15453
84,829.0,-87825
85,100.0,-10986
86,161.0,-14940
87,257.0,-23562
88,459.0,-49735
89,254.0,-24002
90,367.0,-43973
91,88.0,-8813
92,383.0,-41769
93,148.0,-16847
94,447.0,-47363
95,492.0,-55494
96,435.0,-45787
97,694.0,-70929
98,259.0,-27205
99,382.0,-36849
100,448.0,-50335
101,347.0,-38039
102,554.0,-61596
103,592.0,-61323
104,88.0,-5514
105,408.0,-46884
106,68.0,-6335
107,76.0,-6570
108,151.0,-11334
109,343.0,-36967
110,1246.0,-138087
111,922.0,-98493
112,564.0,-59249
113,68.0,-4827
114,682.0,-66371
115,485.0,-50100
116,432.0,-39301
117,175.0,-13048
118,90.0,-11758
119,950.0,-104847
120,184.0,-21432
121,442.0,-51310
122,197.0,-17322
123,133.0,-11857
124,421.0,-49442
125,33.0,-3528
126,285.0,-28041
127,820.0,-78575
128,377.0,-34299
129,361.0,-36615
130,101.0,-10376
131,125.0,-10697
132,665.0,-75895
133,208.0,-25279
134,1624.0,-169377
135,631.0,-70858
136,170.0,-17494
137,244.0,-27347
138,414.0,-45281
139,109.0,-12060
140,368.0,-34307
141,385.0,-35162
142,104.0,-8459
143,263.0,-27380
144,581.0,-63173
145,900.0,-96111
146,138.0,-11464
147,139.0,-16227
148,531.0,-48725
149,175.0,-21308
150,167.0,-17847
151,756.0,-77432
152,510.0,-53609
153,79.0,-9387
154,561.0,-68543
155,133.0,-13519
156,649.0,-66237
157,554.0,-57560
