,Steps until goal,Reward_until_goal
0,100.0,-10801
1,99.0,-7630
2,102.0,-13334
3,76.0,-5701
4,33.0,-2547
5,76.0,-7949
6,225.0,-22936
7,867.0,-64493
8,66.0,-2580
9,33.0,-1524
10,420.0,-26228
11,71.0,-2585
12,114.0,-3822
13,193.0,-14361
14,217.0,-12252
15,209.0,-9971
16,67.0,-3178
17,68.0,-3207
18,48.0,-2548
19,227.0,-13955
20,66.0,-2664
21,82.0,-4785
22,246.0,-11953
23,16.0,-313
24,130.0,-6694
25,80.0,-3034
26,86.0,-5756
27,116.0,-9396
28,27.0,-792
29,72.0,-4562
30,110.0,-5794
31,156.0,-6762
32,102.0,-5430
33,168.0,-11466
34,40.0,-2355
35,48.0,-2946
36,152.0,-9474
37,135.0,-7324
38,54.0,-3577
39,63.0,-3202
40,115.0,-8585
41,51.0,-2565
42,93.0,-6217
43,67.0,-3775
44,48.0,-1951
45,25.0,-1331
46,32.0,-1125
47,52.0,-2552
48,73.0,-5188
49,59.0,-4364
50,64.0,-2620
51,115.0,-7063
52,85.0,-4020
53,42.0,-1732
54,52.0,-2622
55,35.0,-744
56,51.0,-4342
57,83.0,-3648
58,50.0,-1356
59,51.0,-2537
60,43.0,-1747
61,37.0,-1528
62,82.0,-5396
63,77.0,-4567
64,63.0,-3970
65,39.0,-1942
66,62.0,-4182
67,117.0,-5417
68,32.0,-1921
69,54.0,-3378
70,30.0,-1549
71,32.0,-1125
72,77.0,-5562
73,74.0,-4990
74,93.0,-4569
75,82.0,-4045
76,50.0,-2606
77,35.0,-1327
78,62.0,-3941
79,94.0,-6375
80,70.0,-2968
81,25.0,-1118
82,38.0,-988
83,59.0,-3170
84,38.0,-1529
85,88.0,-4194
86,40.0,-749
87,59.0,-2629
88,57.0,-2627
89,44.0,-1748
90,38.0,-1529
91,64.0,-4142
92,49.0,-2748
93,46.0,-3541
94,41.0,-1958
95,83.0,-4189
96,44.0,-1933
97,40.0,-2795
98,40.0,-1147
99,35.0,-1725
100,22.0,-134
101,75.0,-3996
102,35.0,-2123
103,48.0,-1766
104,66.0,-4357
105,40.0,-1730
106,44.0,-2771
107,39.0,-961
108,98.0,-4843
109,38.0,-1927
110,30.0,-1734
111,35.0,-1753
112,81.0,-4983
113,32.0,-1181
114,36.0,-2522
115,44.0,-2928
116,41.0,-1986
117,30.0,-1549
118,41.0,-2939
119,65.0,-5180
120,26.0,-735
121,44.0,-1790
122,49.0,-2364
123,24.0,-363
124,58.0,-4789
125,36.0,-1967
126,58.0,-2956
127,38.0,-1344
128,38.0,-1927
129,34.0,-956
130,41.0,-2953
131,47.0,-2149
132,32.0,-2333
133,60.0,-3370
134,54.0,-3165
135,28.0,-524
136,43.0,-2344
137,44.0,-2146
138,43.0,-3524
139,60.0,-4194
140,79.0,-4583
141,20.0,-530
142,48.0,-2164
143,25.0,-734
144,34.0,-2136
145,57.0,-2187
146,49.0,-4127
147,49.0,-3558
148,21.0,-716
149,38.0,-2353
150,40.0,-2128
151,74.0,-3213
152,36.0,-958
153,61.0,-3741
154,36.0,-1328
155,55.0,-2981
156,59.0,-2388
157,81.0,-4557
158,20.0,-914
159,56.0,-3537
160,65.0,-3204
161,48.0,-4339
162,30.0,-554
163,44.0,-1832
164,20.0,-331
165,38.0,-2922
166,36.0,-1740
167,42.0,-2144
168,52.0,-3163
169,28.0,-1163
170,65.0,-4953
171,58.0,-2045
172,37.0,-3148
173,26.0,-934
174,36.0,-1939
175,66.0,-4357
176,28.0,-1149
177,34.0,-942
178,52.0,-1969
179,39.0,-3136
180,40.0,-2369
181,47.0,-2348
182,38.0,-1728
183,91.0,-4794
184,42.0,-1334
185,39.0,-2525
186,42.0,-1547
187,76.0,-5163
188,42.0,-2343
189,36.0,-986
190,28.0,-936
191,18.0,-329
192,34.0,-1326
193,44.0,-1975
194,58.0,-2359
195,22.0,-916
196,63.0,-2975
197,44.0,-1577
198,32.0,-755
199,52.0,-3334
200,71.0,-3964
201,117.0,-8004
202,34.0,-1525
203,34.0,-1155
204,42.0,-1177
205,22.0,-745
206,46.0,-3754
207,29.0,-1321
208,24.0,-733
209,34.0,-771
210,42.0,-1931
211,34.0,-1340
212,56.0,-2741
213,40.0,-990
214,32.0,-1935
215,43.0,-2131
216,83.0,-5411
217,41.0,-2740
218,29.0,-1548
219,39.0,-1729
220,26.0,-536
221,66.0,-2409
222,34.0,-1368
223,93.0,-6189
224,26.0,-1915
225,31.0,-1934
226,56.0,-3750
227,60.0,-3583
228,46.0,-1949
229,34.0,-785
230,24.0,-335
231,16.0,-313
232,48.0,-2562
233,36.0,-745
234,48.0,-2747
235,54.0,-3151
236,45.0,-1934
237,18.0,-144
238,36.0,-1754
239,30.0,-2118
240,44.0,-2942
241,64.0,-5535
242,67.0,-3576
243,84.0,-5583
244,66.0,-3645
245,34.0,-1340
246,52.0,-1571
247,34.0,-2007
248,42.0,-1760
249,32.0,-1523
250,34.0,-1525
251,36.0,-2365
252,26.0,-749
253,25.0,-734
254,32.0,-1324
255,77.0,-4794
256,50.0,-2578
257,51.0,-3944
258,22.0,-546
259,22.0,-134
260,36.0,-1157
261,30.0,-1350
262,36.0,-2536
263,72.0,-3225
264,31.0,-1323
265,26.0,-536
266,63.0,-3544
267,42.0,-1931
268,32.0,-1338
269,39.0,-1586
270,43.0,-3353
271,74.0,-4749
272,35.0,-1142
273,64.0,-3559
274,25.0,-1118
275,32.0,-1736
276,24.0,-1344
277,42.0,-2741
278,30.0,-1521
279,37.0,-1542
280,63.0,-2364
281,46.0,-2773
282,30.0,-924
283,55.0,-2356
284,22.0,-518
285,32.0,-926
286,62.0,-3955
287,34.0,-1951
288,38.0,-2140
289,24.0,-1330
290,30.0,-725
291,25.0,-919
292,24.0,-918
293,36.0,-1356
294,25.0,-933
295,42.0,-2329
296,28.0,-1362
297,20.0,-132
298,64.0,-3957
299,47.0,-1779
300,82.0,-7145
301,28.0,-1519
302,56.0,-2982
303,30.0,-938
304,24.0,-1131
305,47.0,-2945
306,38.0,-2765
307,72.0,-5173
308,34.0,-2349
309,31.0,-2915
310,22.0,-916
311,28.0,-1135
312,28.0,-1732
313,27.0,-921
314,41.0,-2726
315,69.0,-4346
316,34.0,-942
317,61.0,-2177
318,41.0,-2143
319,40.0,-791
320,56.0,-3338
321,56.0,-3537
322,36.0,-1527
323,40.0,-2327
324,40.0,-1545
325,54.0,-2781
326,44.0,-2345
327,52.0,-3533
328,38.0,-1159
329,62.0,-2761
330,42.0,-1418
331,46.0,-1565
332,49.0,-2165
333,34.0,-1155
334,32.0,-940
335,64.0,-2976
336,38.0,-1159
337,62.0,-2576
338,37.0,-1926
339,28.0,-723
340,55.0,-2740
341,39.0,-2368
342,58.0,-5145
343,26.0,-735
344,64.0,-4554
345,22.0,-333
346,70.0,-4417
347,22.0,-361
348,59.0,-2175
349,61.0,-3570
350,67.0,-4386
351,24.0,-747
352,43.0,-2742
353,36.0,-1171
354,114.0,-7233
355,54.0,-2739
356,52.0,-2168
357,27.0,-963
358,46.0,-2944
359,16.0,-313
360,43.0,-2131
361,28.0,-1320
362,93.0,-5976
363,62.0,-4737
364,36.0,-1527
365,38.0,-1543
366,28.0,-751
367,52.0,-2779
368,45.0,-2943
369,77.0,-5761
370,88.0,-5032
371,26.0,-948
372,35.0,-1341
373,24.0,-719
374,28.0,-1020
375,41.0,-1745
376,20.0,-331
377,36.0,-1527
378,68.0,-3947
379,30.0,-526
380,33.0,-2121
381,34.0,-1169
382,47.0,-1751
383,25.0,-535
384,24.0,-548
385,22.0,-944
386,45.0,-1749
387,30.0,-1137
388,39.0,-1942
389,34.0,-2520
390,22.0,-731
391,36.0,-3119
392,42.0,-2727
393,38.0,-988
394,46.0,-2375
395,49.0,-2350
396,48.0,-2164
397,33.0,-1339
398,39.0,-4117
399,54.0,-1971
400,46.0,-1778
401,34.0,-942
402,42.0,-1987
403,14.0,-112
404,42.0,-1945
405,57.0,-3154
406,24.0,-1714
407,26.0,-1517
408,30.0,-1734
409,46.0,-2375
410,33.0,-2149
411,20.0,-132
412,28.0,-1320
413,58.0,-2415
414,34.0,-1937
415,38.0,-2325
416,30.0,-2729
417,137.0,-8593
418,27.0,-722
419,95.0,-7783
420,41.0,-1361
421,35.0,-1938
422,46.0,-2944
423,56.0,-2186
424,53.0,-4344
425,41.0,-2342
426,20.0,-530
427,36.0,-958
428,40.0,-2526
429,32.0,-1523
