,Steps until goal,Reward_until_goal
0,122.0,-11958
1,151.0,-14476
2,154.0,-17167
3,61.0,-6342
4,321.0,-29610
5,253.0,-23121
6,71.0,-8157
7,405.0,-35625
8,76.0,-4039
9,361.0,-34059
10,588.0,-53303
11,152.0,-10183
12,130.0,-8555
13,137.0,-11847
14,45.0,-2999
15,49.0,-4382
16,127.0,-9547
17,172.0,-14483
18,342.0,-29533
19,45.0,-3739
20,503.0,-36031
21,135.0,-10665
22,172.0,-14853
23,61.0,-5532
24,247.0,-18936
25,275.0,-22417
26,62.0,-5746
27,168.0,-14821
28,86.0,-6025
29,336.0,-21309
30,161.0,-9724
31,48.0,-2363
32,132.0,-10149
33,143.0,-10359
34,43.0,-2770
35,242.0,-18858
36,81.0,-5580
37,297.0,-19992
38,183.0,-13925
39,161.0,-12880
40,146.0,-9580
41,48.0,-2136
42,57.0,-4177
43,353.0,-28434
44,92.0,-5703
45,104.0,-8403
46,75.0,-4963
47,154.0,-10925
48,84.0,-4658
49,297.0,-22226
50,188.0,-14656
51,148.0,-10123
52,87.0,-4675
53,144.0,-11669
54,96.0,-9275
55,22.0,-1129
56,78.0,-5050
57,92.0,-7410
58,164.0,-13735
59,173.0,-16830
60,85.0,-6010
61,155.0,-11125
62,129.0,-12209
63,124.0,-7966
64,170.0,-17480
65,195.0,-16695
66,82.0,-5424
67,59.0,-3170
68,121.0,-10609
69,158.0,-12322
70,326.0,-26462
71,100.0,-6039
72,131.0,-8102
73,150.0,-13808
74,82.0,-6590
75,142.0,-11978
76,102.0,-10248
77,58.0,-3822
78,45.0,-3554
79,100.0,-9750
80,218.0,-16404
81,69.0,-5966
82,232.0,-15563
83,115.0,-6508
84,73.0,-3966
85,122.0,-8917
86,72.0,-3169
87,68.0,-5752
88,71.0,-4603
89,42.0,-2926
90,50.0,-3559
91,140.0,-9333
92,44.0,-3127
93,67.0,-6547
94,71.0,-4987
95,121.0,-9670
96,114.0,-8242
97,141.0,-11823
98,27.0,-1745
99,160.0,-14429
100,102.0,-7050
101,30.0,-1605
102,110.0,-8210
103,46.0,-2546
104,134.0,-9013
105,56.0,-4347
106,63.0,-6557
107,42.0,-2015
108,64.0,-3175
109,66.0,-5352
110,63.0,-6173
111,223.0,-13794
112,62.0,-4367
113,48.0,-2988
114,72.0,-5742
115,24.0,-775
116,107.0,-8008
117,84.0,-7231
118,127.0,-11795
119,90.0,-7237
120,45.0,-2360
121,62.0,-6172
122,152.0,-11349
123,111.0,-8124
124,80.0,-6546
125,180.0,-18087
126,128.0,-10089
127,39.0,-2141
128,63.0,-4567
129,20.0,-715
130,160.0,-12296
131,96.0,-7627
132,90.0,-8773
133,61.0,-3996
134,104.0,-7450
135,69.0,-5767
136,211.0,-16882
137,114.0,-10389
138,50.0,-3217
139,42.0,-2357
140,119.0,-6882
141,55.0,-5582
142,39.0,-4330
143,91.0,-7367
144,106.0,-8220
145,112.0,-8198
146,36.0,-2337
147,186.0,-12720
148,228.0,-21745
149,66.0,-3774
150,94.0,-7056
151,41.0,-3522
152,66.0,-4542
153,70.0,-5754
154,93.0,-6601
155,118.0,-8274
156,198.0,-14977
157,194.0,-18370
158,78.0,-4554
159,84.0,-6407
160,85.0,-4830
161,65.0,-3986
162,48.0,-4154
163,68.0,-5396
164,70.0,-4574
165,111.0,-9063
166,104.0,-7834
167,71.0,-5769
168,142.0,-9876
169,27.0,-1333
170,64.0,-5790
171,32.0,-2333
172,71.0,-4617
173,41.0,-3138
174,80.0,-6972
175,91.0,-6840
176,104.0,-8389
177,132.0,-12453
178,31.0,-1749
179,47.0,-4722
180,40.0,-2966
181,97.0,-5282
182,29.0,-965
