,Steps until goal,Reward_until_goal
0,60.0,-4138
1,77.0,-7566
2,90.0,-7551
3,35.0,-1924
4,74.0,-5943
5,40.0,-1133
6,74.0,-2986
7,78.0,-5406
8,71.0,-4973
9,55.0,-2541
10,96.0,-7372
11,46.0,-3925
12,50.0,-3957
13,32.0,-1935
14,89.0,-7948
15,24.0,-1316
16,82.0,-5595
17,57.0,-5144
18,56.0,-3537
19,67.0,-3960
20,44.0,-2942
21,47.0,-3940
22,68.0,-5141
23,42.0,-2329
24,52.0,-3732
25,69.0,-5142
26,78.0,-4383
27,63.0,-3785
28,57.0,-4931
29,30.0,-1521
30,70.0,-6337
31,48.0,-3927
32,36.0,-1213
33,16.0,-114
34,36.0,-1171
35,61.0,-3144
36,30.0,-1123
37,99.0,-8171
38,44.0,-2530
39,47.0,-3343
40,66.0,-3945
41,79.0,-5749
42,34.0,-1141
43,43.0,-2728
44,121.0,-9600
45,46.0,-3541
46,24.0,-1316
47,60.0,-2759
48,31.0,-1920
49,63.0,-3174
50,38.0,-1728
51,43.0,-2543
52,36.0,-1328
53,69.0,-5753
54,36.0,-1171
55,64.0,-3772
56,49.0,-1540
57,63.0,-4553
58,44.0,-2729
59,33.0,-1737
60,41.0,-2328
61,124.0,-8437
62,59.0,-3952
63,73.0,-6396
64,60.0,-3939
65,65.0,-3148
66,56.0,-2996
67,115.0,-6410
68,30.0,-1720
69,69.0,-4374
70,48.0,-2747
71,71.0,-3765
72,41.0,-2726
73,109.0,-7895
74,38.0,-1145
75,67.0,-6149
76,66.0,-6745
77,95.0,-6376
78,36.0,-2721
79,67.0,-5538
80,58.0,-3581
81,55.0,-3735
82,20.0,-928
83,55.0,-3138
84,64.0,-3758
85,163.0,-10054
86,60.0,-3000
87,39.0,-1729
88,63.0,-4155
89,53.0,-3548
90,28.0,-2116
91,47.0,-3343
92,45.0,-3725
93,39.0,-1729
94,72.0,-5742
95,52.0,-3334
96,24.0,-534
97,84.0,-5754
98,32.0,-1722
99,99.0,-6380
100,57.0,-4561
101,30.0,-1123
102,55.0,-3337
103,96.0,-3804
104,145.0,-8601
105,60.0,-3342
106,42.0,-2343
107,56.0,-2172
108,62.0,-3145
109,133.0,-9270
110,24.0,-719
111,45.0,-3526
112,73.0,-4762
113,78.0,-4355
114,44.0,-3326
115,110.0,-4785
116,73.0,-3781
117,42.0,-4717
118,72.0,-4391
119,30.0,-739
120,42.0,-3338
121,50.0,-3374
122,59.0,-1962
123,42.0,-2727
124,48.0,-1169
125,43.0,-3353
126,39.0,-2141
127,60.0,-3555
128,123.0,-7626
129,127.0,-8227
130,64.0,-4753
131,82.0,-6974
132,36.0,-731
133,63.0,-3785
134,71.0,-4348
135,47.0,-1950
136,116.0,-8003
137,33.0,-1737
138,63.0,-3544
139,30.0,-1322
140,26.0,-1318
141,32.0,-1366
142,60.0,-2972
143,58.0,-4335
144,28.0,-1320
145,54.0,-3350
146,38.0,-2140
147,85.0,-6352
148,51.0,-1940
149,58.0,-4733
150,22.0,-1115
151,36.0,-1740
152,188.0,-15438
153,58.0,-5173
154,105.0,-8603
155,57.0,-4732
156,53.0,-2937
157,51.0,-3162
158,39.0,-3520
159,56.0,-2371
160,51.0,-3930
161,43.0,-1733
162,87.0,-4975
163,55.0,-3166
164,48.0,-3529
165,54.0,-3734
166,21.0,-915
167,51.0,-2736
168,28.0,-922
169,46.0,-1750
170,42.0,-4532
171,32.0,-2148
172,44.0,-1137
173,47.0,-2732
174,42.0,-1561
175,79.0,-4398
176,79.0,-2621
177,57.0,-3737
178,45.0,-3341
179,41.0,-1944
180,82.0,-4373
181,131.0,-8046
182,81.0,-5964
183,105.0,-6812
184,42.0,-1732
185,25.0,-1928
186,28.0,-1917
187,117.0,-7592
188,28.0,-1519
189,40.0,-1346
190,58.0,-3539
191,70.0,-5597
192,105.0,-6372
193,37.0,-1940
194,54.0,-3549
195,28.0,-1320
196,49.0,-3345
197,26.0,-1332
198,193.0,-13268
199,88.0,-4791
200,75.0,-3769
201,32.0,-1125
202,36.0,-1356
203,39.0,-2724
204,55.0,-4744
205,45.0,-4322
206,66.0,-4542
207,53.0,-3349
208,60.0,-4550
209,55.0,-3351
210,56.0,-3750
211,39.0,-2326
212,46.0,-1764
213,45.0,-2531
214,36.0,-2522
215,70.0,-4176
216,79.0,-5763
217,24.0,-349
218,46.0,-4124
219,44.0,-3326
220,92.0,-6174
221,74.0,-4194
222,40.0,-1360
223,49.0,-4127
224,40.0,-2526
225,35.0,-2123
226,69.0,-3763
227,43.0,-2344
228,50.0,-3929
229,70.0,-3949
230,34.0,-1326
231,43.0,-2927
232,52.0,-2538
233,83.0,-5596
234,47.0,-2149
235,47.0,-1367
236,109.0,-7200
237,62.0,-2988
238,77.0,-6543
239,73.0,-4549
240,54.0,-4729
241,69.0,-4559
242,67.0,-4145
243,52.0,-3760
244,66.0,-2950
245,21.0,-517
