,Steps until goal,Reward_until_goal
0,88.0,-6170
1,40.0,-1360
2,34.0,-2520
3,36.0,-2138
4,32.0,-1338
5,79.0,-4967
6,77.0,-5150
7,76.0,-3955
8,93.0,-6175
9,53.0,-3349
10,32.0,-1935
11,54.0,-3364
12,20.0,-1127
13,20.0,-1141
14,47.0,-2732
15,38.0,-2524
16,89.0,-6768
17,57.0,-4149
18,20.0,-1511
19,30.0,-2118
20,116.0,-6851
21,127.0,-10203
22,60.0,-3768
23,86.0,-4391
24,92.0,-3402
25,52.0,-1756
26,95.0,-7584
27,36.0,-2536
28,83.0,-5355
29,62.0,-5533
30,90.0,-6570
31,59.0,-3568
32,100.0,-5983
33,38.0,-2922
34,105.0,-6372
35,99.0,-5825
36,52.0,-3334
37,60.0,-4550
38,46.0,-3129
39,46.0,-3171
40,97.0,-7785
41,47.0,-3329
42,80.0,-4556
43,62.0,-4140
44,108.0,-7000
45,51.0,-3134
46,58.0,-5159
47,54.0,-3137
48,39.0,-2127
49,40.0,-3933
50,55.0,-3379
51,45.0,-2929
52,53.0,-5325
53,161.0,-11061
54,35.0,-2137
55,54.0,-3151
56,53.0,-2567
57,58.0,-4391
58,41.0,-2740
59,140.0,-8652
60,45.0,-3327
61,59.0,-2374
62,36.0,-1726
63,64.0,-4952
64,24.0,-946
65,106.0,-8775
66,65.0,-4356
67,83.0,-5994
68,111.0,-7614
69,71.0,-3566
70,32.0,-1324
71,116.0,-10590
72,34.0,-1923
73,99.0,-9550
74,48.0,-2932
75,96.0,-6775
76,45.0,-2744
77,42.0,-2357
78,82.0,-6349
79,33.0,-1524
80,66.0,-4158
81,58.0,-3738
82,71.0,-4163
83,42.0,-2954
84,36.0,-2337
85,60.0,-2972
86,52.0,-3533
87,56.0,-3977
88,85.0,-5043
89,31.0,-1337
90,26.0,-1318
91,91.0,-6173
92,54.0,-3563
93,98.0,-8355
94,42.0,-1945
95,20.0,-729
96,48.0,-4140
97,59.0,-3739
98,33.0,-1524
99,65.0,-4569
100,52.0,-3575
101,36.0,-1995
102,35.0,-2336
103,83.0,-5568
104,87.0,-5757
105,20.0,-317
106,33.0,-1922
107,100.0,-5627
108,133.0,-11574
109,54.0,-2767
110,74.0,-6554
111,109.0,-9375
112,49.0,-4127
113,46.0,-2958
114,91.0,-7594
115,92.0,-6387
116,57.0,-3765
117,165.0,-8478
118,40.0,-2142
119,54.0,-3947
120,78.0,-4966
121,60.0,-3583
122,30.0,-1137
123,93.0,-6004
124,49.0,-1582
125,67.0,-3974
126,42.0,-3352
127,38.0,-2325
128,41.0,-2328
129,80.0,-5209
130,49.0,-2961
131,98.0,-8369
132,40.0,-1730
133,88.0,-4976
134,136.0,-9245
135,65.0,-5166
136,34.0,-1127
137,73.0,-5146
138,34.0,-1326
139,67.0,-4983
140,33.0,-1950
141,157.0,-10631
142,77.0,-5761
143,66.0,-3163
144,69.0,-5753
145,20.0,-729
146,103.0,-5033
147,62.0,-3543
148,61.0,-4338
149,36.0,-1342
150,51.0,-3759
151,107.0,-7226
152,40.0,-2327
153,74.0,-3967
154,104.0,-8574
155,23.0,-519
156,40.0,-1559
157,44.0,-4321
158,71.0,-4561
159,34.0,-1340
160,93.0,-5976
161,66.0,-3746
162,145.0,-8444
163,54.0,-3336
164,58.0,-2373
165,138.0,-8423
166,42.0,-737
167,79.0,-5578
168,86.0,-6566
169,44.0,-540
170,103.0,-6824
171,33.0,-2121
172,65.0,-3958
173,107.0,-7624
174,87.0,-6382
175,43.0,-2557
176,73.0,-3966
177,39.0,-2937
178,46.0,-2162
179,34.0,-2918
180,37.0,-2352
181,87.0,-7164
182,64.0,-4142
183,22.0,-1129
184,26.0,-721
185,64.0,-3147
186,79.0,-4000
187,56.0,-4930
188,73.0,-3767
189,44.0,-2331
190,92.0,-4994
191,64.0,-4156
192,73.0,-4549
193,50.0,-1754
194,126.0,-8397
195,92.0,-5989
196,57.0,-4959
197,28.0,-1718
198,76.0,-3997
199,52.0,-2737
200,43.0,-2131
201,84.0,-3408
202,80.0,-5167
203,82.0,-8140
204,80.0,-5153
205,72.0,-4349
206,72.0,-3026
207,82.0,-5979
208,30.0,-1549
209,77.0,-4965
210,41.0,-2541
211,106.0,-4596
212,74.0,-6753
213,41.0,-2527
214,53.0,-4330
215,31.0,-2119
216,42.0,-1533
217,70.0,-4347
218,56.0,-4134
219,66.0,-3390
220,78.0,-3800
221,56.0,-4759
222,85.0,-4191
223,40.0,-1346
224,48.0,-3330
225,117.0,-7023
226,79.0,-4611
227,51.0,-2551
228,21.0,-1128
229,97.0,-5411
230,97.0,-5966
231,89.0,-5260
232,122.0,-10795
233,97.0,-7202
234,33.0,-1524
235,52.0,-2140
236,36.0,-2138
237,40.0,-2725
238,73.0,-6340
239,54.0,-2938
240,59.0,-3938
241,51.0,-2949
242,51.0,-1755
243,40.0,-1531
244,38.0,-747
245,49.0,-3743
246,38.0,-1330
247,48.0,-1766
248,42.0,-950
249,48.0,-3543
250,57.0,-3580
251,30.0,-1549
252,106.0,-4240
253,85.0,-3566
254,24.0,-1117
255,46.0,-1935
256,81.0,-3775
257,56.0,-1760
258,18.0,-315
259,76.0,-6968
260,69.0,-2754
261,188.0,-9908
262,28.0,-723
263,60.0,-2958
264,42.0,-2528
265,72.0,-3169
266,52.0,-2936
267,52.0,-2552
268,82.0,-5609
269,53.0,-2738
270,44.0,-3525
271,88.0,-8558
272,70.0,-4162
273,58.0,-2373
274,41.0,-3337
275,64.0,-2976
276,87.0,-5785
277,80.0,-3802
278,62.0,-3784
279,58.0,-4150
280,31.0,-1735
281,43.0,-4135
282,106.0,-7012
283,16.0,-526
284,56.0,-1959
285,48.0,-3145
286,22.0,-1328
287,58.0,-5145
288,76.0,-5959
289,55.0,-3749
290,38.0,-2154
291,70.0,-3380
292,46.0,-2333
293,58.0,-3766
294,78.0,-5961
295,38.0,-2936
296,45.0,-2416
297,34.0,-1539
298,36.0,-1328
299,70.0,-5000
300,65.0,-4541
301,28.0,-950
302,50.0,-4327
303,75.0,-4195
304,55.0,-3777
305,45.0,-2730
306,53.0,-2567
307,122.0,-8222
308,51.0,-3134
309,52.0,-2154
310,105.0,-4993
311,108.0,-8777
312,45.0,-3128
313,39.0,-1928
314,71.0,-3367
315,127.0,-8028
316,116.0,-6453
317,22.0,-731
318,73.0,-5544
319,81.0,-5196
320,37.0,-1755
321,66.0,-4556
322,96.0,-7955
323,24.0,-520
324,61.0,-2959
325,83.0,-5369
326,49.0,-2151
327,66.0,-3547
328,64.0,-2564
329,26.0,-1545
330,59.0,-2957
331,100.0,-7575
332,27.0,-1717
333,71.0,-4547
334,101.0,-6780
335,28.0,-524
336,73.0,-3952
337,18.0,-315
338,144.0,-8031
339,94.0,-7583
340,45.0,-1735
341,26.0,-1318
342,95.0,-5580
343,41.0,-2129
344,44.0,-2331
345,26.0,-522
346,57.0,-2585
347,76.0,-3770
348,60.0,-4152
349,35.0,-2322
350,103.0,-6000
351,119.0,-7409
352,26.0,-735
353,73.0,-6539
354,28.0,-1320
355,71.0,-3992
356,106.0,-6003
357,38.0,-2339
358,84.0,-4389
359,59.0,-3938
360,44.0,-2771
361,88.0,-4976
362,69.0,-4573
363,28.0,-936
364,90.0,-7565
365,46.0,-2347
366,38.0,-2339
367,49.0,-3146
368,115.0,-6993
369,67.0,-3548
370,27.0,-1518
371,42.0,-2001
372,71.0,-4959
373,77.0,-5576
374,56.0,-3366
375,37.0,-3319
376,96.0,-8367
377,51.0,-4342
378,31.0,-1138
379,40.0,-1943
380,32.0,-1935
381,37.0,-1556
382,53.0,-3335
383,50.0,-2138
384,80.0,-4755
385,63.0,-3771
386,47.0,-2348
387,36.0,-2735
388,89.0,-5445
389,38.0,-1344
390,28.0,-737
391,33.0,-1339
392,36.0,-2138
393,72.0,-4974
394,107.0,-6416
395,55.0,-3337
396,54.0,-2739
397,167.0,-10257
398,36.0,-1527
399,54.0,-3151
400,31.0,-1124
401,74.0,-3370
402,58.0,-3539
403,47.0,-3144
404,62.0,-7324
405,53.0,-2539
406,28.0,-950
407,73.0,-4563
408,33.0,-1936
409,109.0,-7612
410,44.0,-966
411,75.0,-5361
412,89.0,-5445
413,36.0,-1939
414,61.0,-1793
415,82.0,-6562
416,70.0,-3750
417,114.0,-7844
418,39.0,-1942
419,91.0,-5178
420,55.0,-3138
421,71.0,-5144
422,40.0,-2924
423,26.0,-536
424,18.0,-727
425,48.0,-3159
426,32.0,-1921
427,70.0,-4773
428,89.0,-6028
429,35.0,-1341
430,40.0,-2924
431,20.0,-914
432,61.0,-3357
433,64.0,-2365
434,118.0,-7991
435,32.0,-1125
436,36.0,-1754
437,44.0,-3141
438,45.0,-2346
439,41.0,-1759
440,86.0,-5016
441,92.0,-7169
442,43.0,-2529
443,40.0,-1758
444,87.0,-4036
445,99.0,-5371
446,69.0,-3763
447,36.0,-1925
448,57.0,-4774
449,80.0,-4584
450,42.0,-2329
451,70.0,-5740
452,62.0,-3756
453,60.0,-3754
454,66.0,-4556
455,33.0,-1936
456,76.0,-5362
457,78.0,-4966
458,35.0,-2137
459,28.0,-1746
460,62.0,-4538
461,75.0,-6157
462,98.0,-7758
463,59.0,-3142
464,36.0,-944
465,102.0,-7434
466,74.0,-5189
467,51.0,-2935
468,120.0,-9400
469,85.0,-4163
470,43.0,-2529
471,48.0,-2150
472,103.0,-5815
473,42.0,-2130
474,60.0,-4351
475,94.0,-7555
476,43.0,-1747
477,28.0,-1334
478,82.0,-5752
479,66.0,-4371
480,44.0,-1563
481,28.0,-1121
482,34.0,-1525
483,71.0,-3210
484,90.0,-6158
485,52.0,-2566
486,47.0,-2973
487,47.0,-4324
488,54.0,-1957
489,45.0,-2161
490,28.0,-1121
491,69.0,-5540
492,30.0,-1549
493,85.0,-7745
494,46.0,-3569
495,69.0,-4943
496,35.0,-730
497,27.0,-1134
498,38.0,-2922
499,120.0,-7878
500,64.0,-3346
501,83.0,-7146
502,43.0,-1548
503,52.0,-2737
504,44.0,-1748
505,34.0,-729
506,92.0,-6003
507,58.0,-3752
508,68.0,-4572
509,31.0,-2318
510,30.0,-1919
511,118.0,-5460
512,66.0,-3177
513,139.0,-8082
514,26.0,-1716
515,51.0,-2949
516,81.0,-4372
517,84.0,-5953
518,87.0,-4378
519,53.0,-3534
520,23.0,-1514
521,135.0,-6828
522,30.0,-1336
523,75.0,-5574
524,50.0,-2337
525,47.0,-2732
526,65.0,-5564
527,20.0,-331
528,48.0,-3927
529,29.0,-951
530,28.0,-1121
531,66.0,-2154
532,43.0,-2742
533,85.0,-6963
534,40.0,-2355
535,89.0,-7550
536,69.0,-4346
537,60.0,-2759
538,50.0,-3332
539,46.0,-3541
540,144.0,-9197
541,58.0,-3738
542,46.0,-3157
543,89.0,-5972
544,53.0,-5140
545,18.0,-542
546,94.0,-5991
547,44.0,-2544
548,40.0,-2327
549,63.0,-3757
550,20.0,-331
551,99.0,-6181
552,52.0,-3376
553,70.0,-4375
554,28.0,-1718
555,66.0,-3163
556,79.0,-3972
557,91.0,-4993
558,22.0,-120
559,45.0,-2758
560,69.0,-4943
561,24.0,-1117
562,55.0,-3735
563,155.0,-13244
564,124.0,-8793
